"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","Display Value","Numeric","Low","High","Comments"
"RSUD_790","PUBLISHED","2014","EUR","FRA","DOCTORAL","Yes","","","",""
"RSUD_790","PUBLISHED","2014","WPR","FSM","TERTIARY","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AFR","GAB","DOCTORAL","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","GBR","BACHELOR","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","GBR","MASTER","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","GBR","TERTIARY","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","GBR","DOCTORAL","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","GEO","BACHELOR","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","GEO","DOCTORAL","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AFR","GHA","BACHELOR","No","","","",""
"RSUD_790","PUBLISHED","2014","AFR","GHA","MASTER","No","","","",""
"RSUD_790","PUBLISHED","2014","AFR","GHA","TERTIARY","No","","","",""
"RSUD_790","PUBLISHED","2014","AFR","GHA","DOCTORAL","No","","","",""
"RSUD_790","PUBLISHED","2014","EUR","GRC","TERTIARY","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AMR","GRD","TERTIARY","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AMR","GTM","MASTER","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AMR","GUY","BACHELOR","No","","","",""
"RSUD_790","PUBLISHED","2014","AMR","GUY","MASTER","No","","","",""
"RSUD_790","PUBLISHED","2014","AMR","GUY","TERTIARY","No","","","",""
"RSUD_790","PUBLISHED","2014","AMR","GUY","DOCTORAL","No","","","",""
"RSUD_790","PUBLISHED","2014","AMR","HND","BACHELOR","No","","","",""
"RSUD_790","PUBLISHED","2014","AMR","HND","MASTER","No","","","",""
"RSUD_790","PUBLISHED","2014","AMR","HND","TERTIARY","No","","","",""
"RSUD_790","PUBLISHED","2014","AMR","HND","DOCTORAL","No","","","",""
"RSUD_790","PUBLISHED","2014","EUR","HRV","MASTER","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","HRV","TERTIARY","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AMR","HTI","TERTIARY","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","HUN","BACHELOR","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","HUN","MASTER","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","HUN","TERTIARY","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","HUN","DOCTORAL","Yes","","","",""
"RSUD_790","PUBLISHED","2014","SEAR","IDN","TERTIARY","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","IRL","MASTER","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","IRL","TERTIARY","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","IRL","DOCTORAL","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EMR","IRN","DOCTORAL","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EMR","IRQ","BACHELOR","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EMR","IRQ","MASTER","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EMR","IRQ","TERTIARY","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EMR","IRQ","DOCTORAL","Yes","","","",""
