"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","ALCOHOLTYPE","Display Value","Numeric","Low","High","Comments"
"SA_0000001539","PUBLISHED","2016","AFR","TGO","","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","UGA","","voluntary/self-restricted","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","COD","SA_WINE","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","KEN","SA_SPIRITS","partial restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","ERI","SA_WINE","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","DZA","SA_BEER","ban","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","AGO","SA_SPIRITS","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","BEN","SA_BEER","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","BFA","SA_BEER","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","COG","SA_WINE","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","LBR","SA_SPIRITS","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","MWI","SA_SPIRITS","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","MLI","SA_BEER","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","MUS","SA_BEER","ban","","","",""
"SA_0000001539","PUBLISHED","2016","AMR","BHS","SA_SPIRITS","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","SLE","SA_WINE","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","SSD","SA_WINE","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","TGO","SA_WINE","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AMR","ATG","SA_SPIRITS","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AMR","BLZ","SA_SPIRITS","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AMR","BRA","SA_SPIRITS","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AMR","COL","SA_BEER","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AMR","HND","SA_WINE","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AMR","KNA","SA_SPIRITS","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AMR","GRD","SA_WINE","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AMR","GUY","SA_WINE","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","EUR","ARM","SA_SPIRITS","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","EMR","LBN","SA_WINE","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","EUR","AND","SA_BEER","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","EMR","JOR","SA_WINE","ban","","","",""
"SA_0000001539","PUBLISHED","2016","AMR","ARG","","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","EUR","ARM","","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","EUR","BGR","","voluntary/self-restricted","","","",""
"SA_0000001539","PUBLISHED","2016","EMR","YEM","","ban","","","",""
"SA_0000001539","PUBLISHED","2016","EUR","MNE","","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","ERI","","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","EUR","EST","","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AMR","HND","","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","EUR","HUN","","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","WPR","KIR","","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","WPR","LAO","","ban","","","",""
"SA_0000001539","PUBLISHED","2016","WPR","MHL","","partial restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","MRT","","ban","","","",""
"SA_0000001539","PUBLISHED","2016","EUR","NOR","","ban","","","",""
"SA_0000001539","PUBLISHED","2016","EUR","ROU","","partial restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AMR","KNA","","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","EMR","SOM","","ban","","","",""
"SA_0000001539","PUBLISHED","2016","EUR","TUR","","ban","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","CPV","SA_BEER","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","CAF","SA_BEER","voluntary/self-restricted","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","COM","SA_BEER","ban","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","GAB","SA_WINE","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","GHA","SA_BEER","voluntary/self-restricted","","","",""
