"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","POLICYSECTOR","Display Value","Numeric","Low","High","Comments"
"SA_0000001694","PUBLISHED","2016","EUR","EST","EDUCATION","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AMR","MEX","SOCIAL","No","","","",""
"SA_0000001694","PUBLISHED","2016","AMR","MEX","JUSTICE","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AMR","PRY","EDUCATION","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","BLR","AGRICULTURE","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","BLR","OTHER_POLICY_SECTOR","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","HRV","SOCIAL","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","HRV","JUSTICE","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","HRV","EDUCATION","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AMR","PRY","TRADE_INDUSTRY","No","","","",""
"SA_0000001694","PUBLISHED","2016","AMR","PRY","AGRICULTURE","No","","","",""
"SA_0000001694","PUBLISHED","2016","EMR","DJI","HEALTH_SECTOR","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EMR","DJI","SOCIAL","No","","","",""
"SA_0000001694","PUBLISHED","2016","EMR","EGY","LAW_ENFORCEMENT","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EMR","EGY","TRADE_INDUSTRY","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","ALB","HEALTH_SECTOR","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","ALB","ROAD_SAFETY","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","ALB","FINANCE_TAXATION","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","AND","EMPLOYMENT","No","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","AND","LAW_ENFORCEMENT","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","AZE","JUSTICE","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","FIN","LAW_ENFORCEMENT","No","","","",""
