"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","BEVERAGETYPE","Display Value","Numeric","Low","High","Comments"
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AFR","SYC","SA_750_TABLE_WINE","7.87","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AFR","SLE","SA_500_POPULAR_BEER","1.21","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EUR","ESP","SA_500_POPULAR_BEER","0.94","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EUR","ESP","SA_750_POPULAR_IMPORTED_SPIRITS","11.28","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AMR","SUR","SA_750_POPULAR_LOCAL_SPIRITS","6.07","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EUR","MKD","SA_750_POPULAR_LOCAL_SPIRITS","0.69","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","SEAR","TLS","SA_500_POPULAR_BEER","1.92","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AMR","URY","SA_750_TABLE_WINE","2.25","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EUR","PRT","SA_500_POPULAR_BEER","1.14","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AMR","VCT","SA_750_POPULAR_LOCAL_SPIRITS","9.96","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AFR","GMB","SA_500_POPULAR_BEER","2.4","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AFR","GMB","SA_750_POPULAR_LOCAL_SPIRITS","4.2","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AFR","LBR","SA_750_POPULAR_LOCAL_SPIRITS","0.4","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AFR","ZWE","SA_750_POPULAR_LOCAL_SPIRITS","9","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AFR","AGO","SA_750_POPULAR_LOCAL_SPIRITS","2.1","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AFR","CPV","SA_750_TABLE_WINE","2.28","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AMR","CHL","SA_750_POPULAR_LOCAL_SPIRITS","5.11","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EMR","BHR","SA_500_POPULAR_BEER","","","","","missing data"
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AMR","BRB","SA_750_TABLE_WINE","","","","","missing data"
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AMR","BOL","SA_750_POPULAR_IMPORTED_SPIRITS","","","","","missing data"
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AFR","BWA","SA_750_POPULAR_IMPORTED_SPIRITS","","","","","missing data"
"SA_0000001523_ARCHIVED","PUBLISHED","2012","WPR","FJI","SA_750_POPULAR_LOCAL_SPIRITS","","","","","missing data"
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EUR","FRA","SA_750_POPULAR_LOCAL_SPIRITS","","","","","missing data"
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AMR","GUY","SA_500_POPULAR_BEER","","","","","missing data"
