"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","Display Value","Numeric","Low","High","Comments"
"obesewm","EQ_DHS","PUBLISHED","2005","AFR","ZWE","","","WQ5","","13.5 [12.1-15.0]","13.53050","12.14733","15.04420",""
"obesewm","EQ_MICS","PUBLISHED","2009","AFR","ZWE","","","WQ1","","No data","","","","Not available."
"obesewm","EQ_MICS","PUBLISHED","2014","AFR","ZWE","","","WQ3","","No data","","","","Not available."
"obesewm","EQ_MICS","PUBLISHED","2014","AFR","ZWE","","","WQ4","","No data","","","","Not available."
"obesewm","EQ_MICS","PUBLISHED","2014","AFR","ZWE","","","WQ5","","No data","","","","Not available."
"obesewm","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","AFGMICS201001","No data","","","","Not available."
"obesewm","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","AFGMICS201005","No data","","","","Not available."
"obesewm","EQ_DHS","PUBLISHED","2003","AFR","GHA","","","","GHADHS200302","5.7 [3.1-10.2]","5.67262","3.09359","10.17595",""
"obesewm","EQ_DHS","PUBLISHED","2014","AFR","GHA","","","","GHADHS201402","15.7 [11.9-20.3]","15.65980","11.90565","20.32462",""
"obesewm","EQ_DHS","PUBLISHED","2003","AFR","KEN","","","","KENDHS200302","9.5 [7.4-12.1]","9.53952","7.44680","12.14318",""
"obesewm","EQ_DHS","PUBLISHED","2004","AFR","MWI","","","","MWIDHS200402","2.3 [1.8-3.1]","2.34195","1.75046","3.12694",""
"obesewm","EQ_DHS","PUBLISHED","2001","SEAR","NPL","","","","NPLDHS200102","1.4 [0.9-2.0]","1.38773","0.94471","2.03424",""
"obesewm","EQ_RHS","PUBLISHED","1993","AMR","SLV","","","","SLVRHS199302","No data","","","","Not available."
"obesewm","EQ_MICS","PUBLISHED","2006","EUR","UZB","","","","UZBMICS200602","No data","","","","Not available."
"obesewm","EQ_MICS","PUBLISHED","2006","WPR","LAO","","","","LAOMICS200601","No data","","","","Not available."
