"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","PUBLICPLACE","Display Value","Numeric","Low","High","Comments"
"SA_0000001553","PUBLISHED","2016","AFR","AGO","SA_SPORTING_EVENTS","no restrictions","","","",""
"SA_0000001553","PUBLISHED","2016","AFR","BWA","SA_HEALTH_CARE_ESTABLISHMENTS","ban","","","",""
"SA_0000001553","PUBLISHED","2016","AFR","BWA","SA_GOVERNMENT_OFFICES","ban","","","",""
"SA_0000001553","PUBLISHED","2016","AFR","BFA","SA_RELIGIOUS_PLACES","no restrictions","","","",""
"SA_0000001553","PUBLISHED","2016","AFR","BDI","SA_EDUCATIONAL_BUILDINGS","ban","","","",""
"SA_0000001553","PUBLISHED","2016","AFR","CPV","SA_WORKPLACES","ban","","","",""
"SA_0000001553","PUBLISHED","2016","AFR","CMR","SA_HEALTH_CARE_ESTABLISHMENTS","no restrictions","","","",""
"SA_0000001553","PUBLISHED","2016","AFR","CAF","SA_LEISURE_EVENTS","voluntary/self-restricted","","","",""
"SA_0000001553","PUBLISHED","2016","AFR","CAF","SA_RELIGIOUS_PLACES","ban","","","",""
"SA_0000001553","PUBLISHED","2016","AFR","COM","SA_SPORTING_EVENTS","ban","","","",""
"SA_0000001553","PUBLISHED","2016","AFR","COM","SA_WORKPLACES","ban","","","",""
"SA_0000001553","PUBLISHED","2016","AFR","CIV","SA_PARKS_AND_STREETS","no restrictions","","","",""
"SA_0000001553","PUBLISHED","2016","AFR","CIV","SA_LEISURE_EVENTS","voluntary/self-restricted","","","",""
"SA_0000001553","PUBLISHED","2016","AFR","GNQ","SA_EDUCATIONAL_BUILDINGS","ban","","","",""
"SA_0000001553","PUBLISHED","2016","AFR","GNQ","SA_PUBLIC_TRANSPORT","partial restriction","","","",""
"SA_0000001553","PUBLISHED","2016","AFR","ETH","SA_HEALTH_CARE_ESTABLISHMENTS","ban","","","",""
"SA_0000001553","PUBLISHED","2016","AFR","ETH","SA_GOVERNMENT_OFFICES","ban","","","",""
"SA_0000001553","PUBLISHED","2016","AFR","GAB","SA_RELIGIOUS_PLACES","ban","","","",""
"SA_0000001553","PUBLISHED","2016","AFR","GMB","SA_EDUCATIONAL_BUILDINGS","ban","","","",""
"SA_0000001553","PUBLISHED","2016","AFR","GNB","SA_RELIGIOUS_PLACES","partial restriction","","","",""
"SA_0000001553","PUBLISHED","2016","AFR","GNB","SA_LEISURE_EVENTS","no restrictions","","","",""
"SA_0000001553","PUBLISHED","2016","AFR","GIN","SA_HEALTH_CARE_ESTABLISHMENTS","ban","","","",""
"SA_0000001553","PUBLISHED","2016","AFR","GHA","SA_WORKPLACES","voluntary/self-restricted","","","",""
"SA_0000001553","PUBLISHED","2016","AFR","TGO","SA_HEALTH_CARE_ESTABLISHMENTS","no restrictions","","","",""
"SA_0000001553","PUBLISHED","2016","AFR","SSD","SA_PUBLIC_TRANSPORT","no restrictions","","","",""
"SA_0000001553","PUBLISHED","2016","AFR","SSD","SA_EDUCATIONAL_BUILDINGS","voluntary/self-restricted","","","",""
"SA_0000001553","PUBLISHED","2016","AFR","SLE","SA_LEISURE_EVENTS","no restrictions","","","",""
"SA_0000001553","PUBLISHED","2016","AFR","SLE","SA_PARKS_AND_STREETS","no restrictions","","","",""
"SA_0000001553","PUBLISHED","2016","AFR","SEN","SA_WORKPLACES","ban","","","",""
"SA_0000001553","PUBLISHED","2016","AFR","SEN","SA_SPORTING_EVENTS","ban","","","",""
"SA_0000001553","PUBLISHED","2016","AFR","RWA","SA_RELIGIOUS_PLACES","no restrictions","","","",""
"SA_0000001553","PUBLISHED","2016","AFR","RWA","SA_LEISURE_EVENTS","voluntary/self-restricted","","","",""
"SA_0000001553","PUBLISHED","2016","AFR","NGA","SA_HEALTH_CARE_ESTABLISHMENTS","ban","","","",""
"SA_0000001553","PUBLISHED","2016","AFR","NER","SA_WORKPLACES","ban","","","",""
"SA_0000001553","PUBLISHED","2016","AFR","NAM","SA_EDUCATIONAL_BUILDINGS","voluntary/self-restricted","","","",""
"SA_0000001553","PUBLISHED","2016","AFR","MOZ","SA_RELIGIOUS_PLACES","voluntary/self-restricted","","","",""
"SA_0000001553","PUBLISHED","2016","AFR","MUS","SA_GOVERNMENT_OFFICES","ban","","","",""
"SA_0000001553","PUBLISHED","2016","AFR","MUS","SA_HEALTH_CARE_ESTABLISHMENTS","ban","","","",""
"SA_0000001553","PUBLISHED","2016","AFR","MLI","SA_PUBLIC_TRANSPORT","no restrictions","","","",""
"SA_0000001553","PUBLISHED","2016","AFR","MLI","SA_EDUCATIONAL_BUILDINGS","partial restriction","","","",""
"SA_0000001553","PUBLISHED","2016","AFR","MDG","SA_LEISURE_EVENTS","voluntary/self-restricted","","","",""
"SA_0000001553","PUBLISHED","2016","AFR","MDG","SA_PARKS_AND_STREETS","ban","","","",""
"SA_0000001553","PUBLISHED","2016","AFR","LSO","SA_WORKPLACES","partial restriction","","","",""
"SA_0000001553","PUBLISHED","2016","AFR","LSO","SA_SPORTING_EVENTS","no restrictions","","","",""
"SA_0000001553","PUBLISHED","2016","AFR","TGO","SA_GOVERNMENT_OFFICES","no restrictions","","","",""
"SA_0000001553","PUBLISHED","2016","AFR","UGA","SA_RELIGIOUS_PLACES","voluntary/self-restricted","","","",""
"SA_0000001553","PUBLISHED","2016","AFR","TZA","SA_EDUCATIONAL_BUILDINGS","ban","","","",""
"SA_0000001553","PUBLISHED","2016","AFR","ZWE","SA_HEALTH_CARE_ESTABLISHMENTS","ban","","","",""
"SA_0000001553","PUBLISHED","2016","AMR","JAM","SA_GOVERNMENT_OFFICES","ban","","","",""
"SA_0000001553","PUBLISHED","2016","AMR","ATG","SA_LEISURE_EVENTS","no restrictions","","","",""
"SA_0000001553","PUBLISHED","2016","AMR","ATG","SA_RELIGIOUS_PLACES","voluntary/self-restricted","","","",""
"SA_0000001553","PUBLISHED","2016","AMR","SLV","SA_SPORTING_EVENTS","voluntary/self-restricted","","","",""
"SA_0000001553","PUBLISHED","2016","AMR","SLV","SA_WORKPLACES","voluntary/self-restricted","","","",""
