"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"SA_0000001783","SA_0000001783_SVN","PUBLISHED","2007","EUR","SVN","FMLE","63.0","63.00000","","",""
"SA_0000001783","SA_0000001783_BGR","PUBLISHED","2011","EUR","BGR","BTSX","64.0","64.00000","","",""
"SA_0000001783","SA_0000001783_FRA","PUBLISHED","2011","EUR","FRA","FMLE","64.0","64.00000","","",""
"SA_0000001783","SA_0000001783_LTU","PUBLISHED","2011","EUR","LTU","FMLE","64.0","64.00000","","",""
"SA_0000001783","SA_0000001783_HRV","PUBLISHED","2007","EUR","HRV","BTSX","64.0","64.00000","","",""
"SA_0000001783","SA_0000001783_FRA","PUBLISHED","2007","EUR","FRA","BTSX","64.0","64.00000","","",""
"SA_0000001783","SA_0000001783_ITA","PUBLISHED","2003","EUR","ITA","BTSX","64.0","64.00000","","",""
"SA_0000001783","SA_0000001783_ROU","PUBLISHED","2003","EUR","ROU","MLE","64.0","64.00000","","",""
"SA_0000001783","SA_0000001783_RUS","PUBLISHED","2003","EUR","RUS","FMLE","64.0","64.00000","","",""
"SA_0000001783","SA_0000001783_CHE","PUBLISHED","2007","EUR","CHE","FMLE","64.0","64.00000","","",""
"SA_0000001783","SA_0000001783_LCA","PUBLISHED","2005","AMR","LCA","BTSX","64.3","64.30000","","",""
"SA_0000001783","SA_0000001783_LVA","PUBLISHED","2011","EUR","LVA","BTSX","65.0","65.00000","","",""
"SA_0000001783","SA_0000001783_SVN","PUBLISHED","2011","EUR","SVN","BTSX","65.0","65.00000","","",""
"SA_0000001783","SA_0000001783_GBR","PUBLISHED","2011","EUR","GBR","BTSX","65.0","65.00000","","",""
"SA_0000001783","SA_0000001783_GBR","PUBLISHED","2011","EUR","GBR","FMLE","65.0","65.00000","","",""
"SA_0000001783","SA_0000001783_BGR","PUBLISHED","2003","EUR","BGR","BTSX","65.0","65.00000","","",""
"SA_0000001783","SA_0000001783_LVA","PUBLISHED","2007","EUR","LVA","BTSX","65.0","65.00000","","",""
"SA_0000001783","SA_0000001783_LVA","PUBLISHED","2007","EUR","LVA","FMLE","65.0","65.00000","","",""
"SA_0000001783","SA_0000001783_LTU","PUBLISHED","2007","EUR","LTU","BTSX","65.0","65.00000","","",""
"SA_0000001783","SA_0000001783_LTU","PUBLISHED","2007","EUR","LTU","MLE","65.0","65.00000","","",""
