"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SUBSTANCETYPE","Display Value","Numeric","Low","High","Comments"
"RSUD_8","PUBLISHED","2008","EUR","ISR","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","EUR","ISR","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","EUR","ITA","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","EUR","ITA","ALCOHOL","yes","","","",""
"RSUD_8","PUBLISHED","2008","AMR","JAM","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","AMR","JAM","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","WPR","JPN","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","WPR","JPN","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","EMR","JOR","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","EMR","JOR","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","EUR","KGZ","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","EUR","KGZ","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","WPR","LAO","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","WPR","LAO","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","EUR","LVA","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","EUR","LVA","ALCOHOL","yes","","","",""
"RSUD_8","PUBLISHED","2008","AFR","LSO","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","LSO","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","LBR","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","LBR","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","EUR","LTU","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","EUR","LTU","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","EUR","LUX","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","AFR","MDG","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","MDG","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","MWI","ALCOHOL","yes","","","",""
"RSUD_8","PUBLISHED","2008","AFR","MWI","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","WPR","MYS","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","WPR","MYS","ALCOHOL","yes","","","",""
"RSUD_8","PUBLISHED","2008","SEAR","MDV","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","SEAR","MDV","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","MLI","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","MLI","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","EUR","MLT","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","EUR","MLT","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","MRT","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","MRT","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","MUS","ALCOHOL","yes","","","",""
"RSUD_8","PUBLISHED","2008","AFR","MUS","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","AMR","MEX","ALCOHOL","yes","","","",""
"RSUD_8","PUBLISHED","2008","AMR","MEX","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","WPR","MNG","ALCOHOL","yes","","","",""
"RSUD_8","PUBLISHED","2008","WPR","MNG","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","EMR","MAR","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","EMR","MAR","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","MOZ","ALCOHOL","yes","","","",""
"RSUD_8","PUBLISHED","2008","AFR","MOZ","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","SEAR","MMR","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","SEAR","MMR","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","AFR","NAM","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","NAM","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","SEAR","NPL","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","SEAR","NPL","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","EUR","NLD","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","EUR","NLD","ALCOHOL","yes","","","",""
"RSUD_8","PUBLISHED","2008","WPR","NZL","ALCOHOL","yes","","","",""
"RSUD_8","PUBLISHED","2008","WPR","NZL","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","AMR","NIC","ALCOHOL","yes","","","",""
"RSUD_8","PUBLISHED","2008","AMR","NIC","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","AFR","NER","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","NER","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","NGA","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","NGA","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","EUR","NOR","ALCOHOL","yes","","","",""
"RSUD_8","PUBLISHED","2008","EUR","NOR","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","EMR","OMN","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","EMR","OMN","ALCOHOL","yes","","","",""
"RSUD_8","PUBLISHED","2008","EMR","PAK","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","EMR","PAK","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","WPR","PLW","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","WPR","PLW","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","AMR","PAN","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","AMR","PAN","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","WPR","PNG","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","WPR","PNG","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","AMR","PRY","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","AMR","PRY","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","AMR","PER","ALCOHOL","yes","","","",""
