"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","AGEGROUP","SEX","INADEQUACY","Display Value","Numeric","Low","High","Comments"
"WSH_30","PUBLISHED","2016","EUR","ARM","YEARSALL","BTSX","INADEQUATE_WSH","1321","1320.81340","","",""
"WSH_30","PUBLISHED","2016","EUR","BEL","YEARSALL","BTSX","INADEQUATE_WSH","693","693.20103","","",""
"WSH_30","PUBLISHED","2016","AMR","CAN","YEARSALL","BTSX","INADEQUATE_WSH","2166","2166.44953","","",""
"WSH_30","PUBLISHED","2016","AFR","CMR","YEARSALL","FMLE","INADEQUATE_WSH","327 906","327906.37880","","",""
"WSH_30","PUBLISHED","2016","WPR","LAO","YEARSALL","FMLE","INADEQUATE_WSH","24 845","24844.74825","","",""
"WSH_30","PUBLISHED","2016","AFR","LSO","YEARSALL","MLE","INADEQUATE_WSH","24 556","24555.80679","","",""
"WSH_30","PUBLISHED","2016","WPR","MYS","YEARSALL","FMLE","INADEQUATE_WSH","6370","6369.58007","","",""
"WSH_30","PUBLISHED","2016","EUR","NLD","YEARSALL","FMLE","INADEQUATE_WSH","568","568.28045","","",""
"WSH_30","PUBLISHED","2016","EMR","YEM","YEARSALL","MLE","INADEQUATE_WSH","111 337","111337.20060","","",""
"WSH_30","PUBLISHED","2016","EUR","AUT","YEARSALL","BTSX","INADEQUATE_WSH","360","360.35629","","",""
"WSH_30","PUBLISHED","2016","SEAR","BGD","YEARSALL","FMLE","INADEQUATE_WSH","478 366","478365.85270","","",""
"WSH_30","PUBLISHED","2016","EMR","IRQ","YEARSALL","FMLE","INADEQUATE_WSH","43 317","43316.55429","","",""
"WSH_30","PUBLISHED","2016","EUR","ISL","YEARSALL","BTSX","INADEQUATE_WSH","11","10.70022","","",""
"WSH_30","PUBLISHED","2016","EUR","LUX","YEARSALL","BTSX","INADEQUATE_WSH","16","15.76641","","",""
"WSH_30","PUBLISHED","2016","SEAR","MDV","YEARSALL","FMLE","INADEQUATE_WSH","67","67.36681","","",""
"WSH_30","PUBLISHED","2016","EUR","TJK","YEARSALL","FMLE","INADEQUATE_WSH","9611","9611.39854","","",""
"WSH_30","PUBLISHED","2016","EUR","TUR","YEARSALL","MLE","INADEQUATE_WSH","17 292","17291.59088","","",""
"WSH_30","PUBLISHED","2016","AFR","ZWE","YEARSALL","FMLE","INADEQUATE_WSH","118 958","118957.85190","","",""
"WSH_30","PUBLISHED","2016","AFR","AGO","YEARSALL","BTSX","INADEQUATE_WSH","984 781","984780.83210","","",""
"WSH_30","PUBLISHED","2016","AFR","GNQ","YEARSALL","MLE","INADEQUATE_WSH","9489","9488.56444","","",""
"WSH_30","PUBLISHED","2016","AMR","HND","YEARSALL","MLE","INADEQUATE_WSH","10 242","10241.68906","","",""
"WSH_30","PUBLISHED","2016","AFR","KEN","YEARSALL","BTSX","INADEQUATE_WSH","1 205 099","1205099.37700","","",""
"WSH_30","PUBLISHED","2016","WPR","KHM","YEARSALL","MLE","INADEQUATE_WSH","37 190","37190.08175","","",""
"WSH_30","PUBLISHED","2016","EUR","SVN","YEARSALL","FMLE","INADEQUATE_WSH","65","64.62668","","",""
"WSH_30","PUBLISHED","2016","AFR","TCD","YEARSALL","FMLE","INADEQUATE_WSH","475 594","475593.96990","","",""
"WSH_30","PUBLISHED","2016","EUR","UZB","YEARSALL","BTSX","INADEQUATE_WSH","14 853","14852.94751","","",""
"WSH_30","PUBLISHED","2016","EMR","YEM","YEARSALL","BTSX","INADEQUATE_WSH","258 601","258600.80950","","",""
"WSH_30","PUBLISHED","2016","WPR","FJI","YEARSALL","BTSX","INADEQUATE_WSH","1394","1394.12280","","",""
"WSH_30","PUBLISHED","2016","EUR","GEO","YEARSALL","FMLE","INADEQUATE_WSH","691","691.13076","","",""
"WSH_30","PUBLISHED","2016","EUR","ISR","YEARSALL","BTSX","INADEQUATE_WSH","423","422.84522","","",""
"WSH_30","PUBLISHED","2016","EUR","KAZ","YEARSALL","FMLE","INADEQUATE_WSH","4639","4639.07594","","",""
"WSH_30","PUBLISHED","2016","EMR","SDN","YEARSALL","FMLE","INADEQUATE_WSH","285 350","285349.58240","","",""
"WSH_30","PUBLISHED","2016","EUR","SRB","YEARSALL","BTSX","INADEQUATE_WSH","3199","3198.78563","","",""
"WSH_30","PUBLISHED","2016","EUR","TUR","YEARSALL","BTSX","INADEQUATE_WSH","35 211","35210.86438","","",""
"WSH_30","PUBLISHED","2016","AMR","USA","YEARSALL","BTSX","INADEQUATE_WSH","20 835","20834.66565","","",""
"WSH_30","PUBLISHED","2016","AFR","DZA","YEARSALL","BTSX","INADEQUATE_WSH","72 917","72916.60129","","",""
"WSH_30","PUBLISHED","2016","AFR","ERI","YEARSALL","MLE","INADEQUATE_WSH","60 761","60760.60353","","",""
"WSH_30","PUBLISHED","2016","AMR","GUY","YEARSALL","MLE","INADEQUATE_WSH","1049","1049.04338","","",""
"WSH_30","PUBLISHED","2016","AMR","HTI","YEARSALL","MLE","INADEQUATE_WSH","96 029","96028.95070","","",""
"WSH_30","PUBLISHED","2016","SEAR","PRK","YEARSALL","FMLE","INADEQUATE_WSH","11 565","11564.89819","","",""
"WSH_30","PUBLISHED","2016","EMR","SDN","YEARSALL","BTSX","INADEQUATE_WSH","551 580","551580.06400","","",""
"WSH_30","PUBLISHED","2016","EUR","TKM","YEARSALL","MLE","INADEQUATE_WSH","12 398","12397.80276","","",""
"WSH_30","PUBLISHED","2016","AMR","TTO","YEARSALL","MLE","INADEQUATE_WSH","71","71.11357","","",""
"WSH_30","PUBLISHED","2016","AMR","BOL","YEARSALL","BTSX","INADEQUATE_WSH","47 013","47013.41865","","",""
"WSH_30","PUBLISHED","2016","WPR","BRN","YEARSALL","MLE","INADEQUATE_WSH","5","5.33984","","",""
"WSH_30","PUBLISHED","2016","EUR","EST","YEARSALL","FMLE","INADEQUATE_WSH","97","97.24824","","",""
"WSH_30","PUBLISHED","2016","EUR","FIN","YEARSALL","BTSX","INADEQUATE_WSH","208","207.59792","","",""
"WSH_30","PUBLISHED","2016","AFR","MLI","YEARSALL","FMLE","INADEQUATE_WSH","362 781","362781.40580","","",""
"WSH_30","PUBLISHED","2016","AFR","MWI","YEARSALL","BTSX","INADEQUATE_WSH","266 265","266265.33490","","",""
"WSH_30","PUBLISHED","2016","EMR","PAK","YEARSALL","BTSX","INADEQUATE_WSH","2 560 918","2560918.24100","","",""
"WSH_30","PUBLISHED","2016","AMR","PER","YEARSALL","MLE","INADEQUATE_WSH","16 934","16934.20734","","",""
"WSH_30","PUBLISHED","2016","AMR","BLZ","YEARSALL","FMLE","INADEQUATE_WSH","173","173.00178","","",""
"WSH_30","PUBLISHED","2016","EUR","FRA","YEARSALL","BTSX","INADEQUATE_WSH","3578","3578.46575","","",""
"WSH_30","PUBLISHED","2016","EUR","HUN","YEARSALL","BTSX","INADEQUATE_WSH","958","958.10807","","",""
"WSH_30","PUBLISHED","2016","EUR","LTU","YEARSALL","BTSX","INADEQUATE_WSH","286","286.14569","","",""
"WSH_30","PUBLISHED","2016","WPR","PHL","YEARSALL","FMLE","INADEQUATE_WSH","138 683","138682.89710","","",""
"WSH_30","PUBLISHED","2016","AFR","SSD","YEARSALL","BTSX","INADEQUATE_WSH","456 635","456635.28660","","",""
"WSH_30","PUBLISHED","2016","EUR","TUR","YEARSALL","FMLE","INADEQUATE_WSH","17 919","17919.27350","","",""
"WSH_30","PUBLISHED","2016","AFR","BFA","YEARSALL","MLE","INADEQUATE_WSH","267 134","267134.43710","","",""
"WSH_30","PUBLISHED","2016","AFR","COM","YEARSALL","MLE","INADEQUATE_WSH","11 971","11970.74150","","",""
"WSH_30","PUBLISHED","2016","AFR","GAB","YEARSALL","BTSX","INADEQUATE_WSH","20 663","20662.55703","","",""
"WSH_30","PUBLISHED","2016","EMR","IRN","YEARSALL","BTSX","INADEQUATE_WSH","91 415","91414.79761","","",""
"WSH_30","PUBLISHED","2016","WPR","KHM","YEARSALL","FMLE","INADEQUATE_WSH","24 774","24773.86950","","",""
"WSH_30","PUBLISHED","2016","AMR","MEX","YEARSALL","BTSX","INADEQUATE_WSH","77 868","77867.61134","","",""
"WSH_30","PUBLISHED","2016","WPR","NZL","YEARSALL","MLE","INADEQUATE_WSH","76","76.23297","","",""
"WSH_30","PUBLISHED","2016","AMR","SLV","YEARSALL","BTSX","INADEQUATE_WSH","8860","8859.79367","","",""
"WSH_30","PUBLISHED","2016","AFR","SYC","YEARSALL","FMLE","INADEQUATE_WSH","5","5.24463","","",""
"WSH_30","PUBLISHED","2016","EUR","UZB","YEARSALL","FMLE","INADEQUATE_WSH","6439","6438.66768","","",""
"WSH_30","PUBLISHED","2016","AMR","ATG","YEARSALL","MLE","INADEQUATE_WSH","6","6.19279","","",""
"WSH_30","PUBLISHED","2016","AMR","CAN","YEARSALL","FMLE","INADEQUATE_WSH","1233","1233.00448","","",""
"WSH_30","PUBLISHED","2016","AFR","ETH","YEARSALL","BTSX","INADEQUATE_WSH","2 522 490","2522490.41800","","",""
"WSH_30","PUBLISHED","2016","AMR","HND","YEARSALL","BTSX","INADEQUATE_WSH","20 757","20757.33658","","",""
"WSH_30","PUBLISHED","2016","WPR","LAO","YEARSALL","MLE","INADEQUATE_WSH","26 191","26190.81461","","",""
"WSH_30","PUBLISHED","2016","EUR","NLD","YEARSALL","BTSX","INADEQUATE_WSH","1066","1065.91503","","",""
"WSH_30","PUBLISHED","2016","AFR","SEN","YEARSALL","MLE","INADEQUATE_WSH","116 460","116460.14940","","",""
"WSH_30","PUBLISHED","2016","AFR","TCD","YEARSALL","BTSX","INADEQUATE_WSH","1 022 814","1022813.88000","","",""
"WSH_30","PUBLISHED","2016","EUR","AUT","YEARSALL","MLE","INADEQUATE_WSH","154","154.14598","","",""
"WSH_30","PUBLISHED","2016","AMR","CUB","YEARSALL","FMLE","INADEQUATE_WSH","3072","3071.68971","","",""
"WSH_30","PUBLISHED","2016","EUR","FRA","YEARSALL","FMLE","INADEQUATE_WSH","1999","1998.63662","","",""
"WSH_30","PUBLISHED","2016","SEAR","IDN","YEARSALL","MLE","INADEQUATE_WSH","379 662","379662.27950","","",""
"WSH_30","PUBLISHED","2016","AFR","MDG","YEARSALL","BTSX","INADEQUATE_WSH","437 527","437526.78600","","",""
"WSH_30","PUBLISHED","2016","AFR","NGA","YEARSALL","MLE","INADEQUATE_WSH","4 179 781","4179781.03600","","",""
"WSH_30","PUBLISHED","2016","AFR","RWA","YEARSALL","BTSX","INADEQUATE_WSH","126 834","126834.36020","","",""
"WSH_30","PUBLISHED","2016","EMR","TUN","YEARSALL","FMLE","INADEQUATE_WSH","4770","4769.72353","","",""
"WSH_30","PUBLISHED","2016","EUR","ARM","YEARSALL","FMLE","INADEQUATE_WSH","652","651.76427","","",""
"WSH_30","PUBLISHED","2016","AMR","BRB","YEARSALL","MLE","INADEQUATE_WSH","19","19.29986","","",""
"WSH_30","PUBLISHED","2016","EUR","DEU","YEARSALL","FMLE","INADEQUATE_WSH","4574","4573.50239","","",""
"WSH_30","PUBLISHED","2016","EUR","HRV","YEARSALL","MLE","INADEQUATE_WSH","145","144.88865","","",""
"WSH_30","PUBLISHED","2016","EUR","KGZ","YEARSALL","BTSX","INADEQUATE_WSH","5589","5589.04717","","",""
"WSH_30","PUBLISHED","2016","WPR","MNG","YEARSALL","MLE","INADEQUATE_WSH","2607","2607.31809","","",""
