"GHO","PUBLISHSTATE","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"M_svy_age_adult","PUBLISHED","EMR","SOM","Not available","","","","Data not reported / not available"
"M_svy_age_adult","PUBLISHED","EUR","MCO","Not available","","","","Data not reported / not available"
"M_svy_age_adult","PUBLISHED","AFR","GNB","Not available","","","","Data not reported / not available"
"M_svy_age_adult","PUBLISHED","AMR","LCA","Not available","","","","Data not reported / not available"
"M_svy_age_adult","PUBLISHED","AFR","CAF","Not available","","","","Data not reported / not available"
"M_svy_age_adult","PUBLISHED","AMR","ATG","Not available","","","","Data not reported / not available"
"M_svy_age_adult","PUBLISHED","EUR","SMR","Not available","","","","Data not reported / not available"
"M_svy_age_adult","PUBLISHED","AFR","AGO","Not available","","","","Data not reported / not available"
"M_svy_age_adult","PUBLISHED","EMR","SDN","Not available","","","","Data not reported / not available"
"M_svy_age_adult","PUBLISHED","AFR","GNQ","Not available","","","","Data not reported / not available"
"M_svy_age_adult","PUBLISHED","AFR","SSD","Not available","","","","Data not reported / not available"
"M_svy_age_adult","PUBLISHED","AMR","CHL","12-64","","","",""
"M_svy_age_adult","PUBLISHED","AMR","BOL","12-65","","","",""
"M_svy_age_adult","PUBLISHED","AMR","COL","12-65","","","",""
"M_svy_age_adult","PUBLISHED","AMR","PER","12-65","","","",""
"M_svy_age_adult","PUBLISHED","AMR","CRI","12-70","","","",""
"M_svy_age_adult","PUBLISHED","WPR","FSM","12-98","","","",""
