"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","RSUDPREVENTIONPROGRAMME","Display Value","Numeric","Low","High","Comments"
"RSUD_600","PUBLISHED","2014","EUR","LUX","MASS_MEDIA_AUDIOVISUAL","No data","","","",""
"RSUD_600","PUBLISHED","2014","EUR","LUX","MASS_MEDIA_PRINT","No data","","","",""
"RSUD_600","PUBLISHED","2014","EUR","LUX","SCHOOL_MANUAL_BASED","No data","","","",""
"RSUD_600","PUBLISHED","2014","EUR","LUX","WORK_PLACE_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","EUR","LUX","COMMUNITY_BASED_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","EUR","LUX","PARENT_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","EUR","LVA","ADS_IN_PUBLIC","No data","","","",""
"RSUD_600","PUBLISHED","2014","EUR","LVA","MASS_MEDIA_AUDIOVISUAL","No data","","","",""
"RSUD_600","PUBLISHED","2014","EUR","LVA","MASS_MEDIA_PRINT","No data","","","",""
"RSUD_600","PUBLISHED","2014","EUR","LVA","SCHOOL_MANUAL_BASED","No data","","","",""
"RSUD_600","PUBLISHED","2014","EUR","LVA","WORK_PLACE_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","EUR","LVA","COMMUNITY_BASED_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","EUR","LVA","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","EUR","LVA","PARENT_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","EMR","MAR","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","EUR","MCO","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","EUR","MCO","ADS_IN_PUBLIC","No data","","","",""
"RSUD_600","PUBLISHED","2014","EUR","MCO","MASS_MEDIA_AUDIOVISUAL","No data","","","",""
"RSUD_600","PUBLISHED","2014","EUR","MCO","MASS_MEDIA_PRINT","No data","","","",""
"RSUD_600","PUBLISHED","2014","EUR","MCO","SCHOOL_MANUAL_BASED","No data","","","",""
"RSUD_600","PUBLISHED","2014","EUR","MCO","WORK_PLACE_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","EUR","MCO","COMMUNITY_BASED_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","EUR","MCO","PARENT_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","EUR","MDA","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","AFR","MDG","ADS_IN_PUBLIC","No data","","","",""
"RSUD_600","PUBLISHED","2014","AFR","MDG","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","SEAR","MDV","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","SEAR","MDV","ADS_IN_PUBLIC","No data","","","",""
"RSUD_600","PUBLISHED","2014","SEAR","MDV","MASS_MEDIA_AUDIOVISUAL","No data","","","",""
"RSUD_600","PUBLISHED","2014","SEAR","MDV","MASS_MEDIA_PRINT","No data","","","",""
"RSUD_600","PUBLISHED","2014","SEAR","MDV","SCHOOL_MANUAL_BASED","No data","","","",""
"RSUD_600","PUBLISHED","2014","SEAR","MDV","WORK_PLACE_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","SEAR","MDV","COMMUNITY_BASED_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","SEAR","MDV","PARENT_PROG","No data","","","",""
