"GHO","PUBLISHSTATE","YEAR","REGION","UNREGION","WORLDBANKINCOMEGROUP","UNSDGREGION","Display Value","Numeric","Low","High","Comments"
"NUTUNDERWEIGHTNUM","PUBLISHED","2015","","","","UNSDG_EASTERNASIA","2.0 [1.8-2.2]","2.00000","1.80000","2.20000","excluding Japan"
"NUTUNDERWEIGHTNUM","PUBLISHED","2015","","","","UNSDG_EASTERNAFR","10.8 [8.9-13.1]","10.80000","8.90000","13.10000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2015","","","","UNSDG_AUSTRALIANEWZEALAND","0.0","0.00000","","","Consecutive Low Population Coverage;insufficient data for estimating confidence intervals"
"NUTUNDERWEIGHTNUM","PUBLISHED","2019","","","","UNSDG_EASTERNASIA","1.4 [1.3-1.5]","1.40000","1.30000","1.50000","excluding Japan"
"NUTUNDERWEIGHTNUM","PUBLISHED","2019","","","","UNSDG_LLDC","10.9 [7.9-14.7]","10.90000","7.90000","14.70000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2019","","","","UNSDG_CARIBBEAN","0.1 [0.1-0.2]","0.10000","0.10000","0.20000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2019","","","","UNSDG_MIDDLEAFR","4.6 [3.4-6.1]","4.60000","3.40000","6.10000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2019","","","","UNSDG_AUSTRALIANEWZEALAND","0.0","0.00000","","","Consecutive Low Population Coverage;insufficient data for estimating confidence intervals"
"NUTUNDERWEIGHTNUM","PUBLISHED","2019","","","","UNSDG_WESTERNAFR","11.0 [9.5-12.7]","11.00000","9.50000","12.70000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2019","","","","UNSDG_NORTHAFR","1.5 [0.6-3.4]","1.50000","0.60000","3.40000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2019","","","","UNSDG_CENTRALAMR","0.5 [0.3-0.9]","0.50000","0.30000","0.90000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2019","","","","UNSDG_EASTERNAFR","10.5 [8.5-12.9]","10.50000","8.50000","12.90000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2019","","","","UNSDG_SOUTHEASTERNASIA","8.0 [6.3-10.0]","8.00000","6.30000","10.00000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2019","","","","UNSDG_SOUTHASIA","47.0 [36.9-58.8]","47.00000","36.90000","58.80000",""
