"GHO","PUBLISHSTATE","YEAR","REGION","UNREGION","COUNTRY","RESIDENCEAREATYPE","Display Value","Numeric","Low","High","Comments"
"SDGPM25","PUBLISHED","2016","EMR","","IRQ","URB","60.1 [44.1-91.9]","60.08139","44.08169","91.88328",""
"SDGPM25","PUBLISHED","2016","EMR","","IRQ","TOTL","57.7 [42.2-87.6]","57.73122","42.24192","87.60363",""
"SDGPM25","PUBLISHED","2016","EUR","","ISL","TOTL","5.9 [5.8-7.6]","5.93534","5.77846","7.58239",""
"SDGPM25","PUBLISHED","2016","EUR","","ISL","URB","5.9 [5.3-6.9]","5.87156","5.25985","6.93202",""
"SDGPM25","PUBLISHED","2016","EUR","","ISR","URB","19.4 [18.1-20.1]","19.35185","18.12896","20.11492",""
"SDGPM25","PUBLISHED","2016","EUR","","ISR","TOTL","19.5 [18.2-20.3]","19.46223","18.18100","20.31997",""
"SDGPM25","PUBLISHED","2016","EUR","","ITA","TOTL","15.3 [16.0-16.6]","15.28336","16.01372","16.56133",""
"SDGPM25","PUBLISHED","2016","EUR","","ITA","URB","15.7 [16.5-17.0]","15.72926","16.46300","17.02520",""
"SDGPM25","PUBLISHED","2016","AMR","","JAM","URB","13.6 [11.2-17.6]","13.64890","11.17327","17.58096",""
"SDGPM25","PUBLISHED","2016","AMR","","JAM","TOTL","13.3 [10.7-17.2]","13.25164","10.73243","17.18433",""
"SDGPM25","PUBLISHED","2016","EMR","","JOR","URB","31.7 [27.6-36.9]","31.65498","27.59480","36.87187",""
"SDGPM25","PUBLISHED","2016","EMR","","JOR","TOTL","32.1 [28.3-38.6]","32.08618","28.33927","38.57796",""
"SDGPM25","PUBLISHED","2016","WPR","","JPN","TOTL","11.4 [10.7-12.5]","11.44522","10.73484","12.48085",""
"SDGPM25","PUBLISHED","2016","WPR","","JPN","URB","11.8 [11.1-12.9]","11.83539","11.14838","12.87693",""
"SDGPM25","PUBLISHED","2016","EUR","","KAZ","TOTL","11.3 [7.7-20.5]","11.31557","7.69045","20.51035",""
"SDGPM25","PUBLISHED","2016","EUR","","KAZ","URB","14.5 [9.8-25.8]","14.48180","9.75187","25.83121",""
