"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"WHOSIS_000010","PUBLISHED","2008","AFR","WB_UMI","NAM","MLE","4.3 [2.4-6.8]","4.30000","2.40000","6.80000",""
"WHOSIS_000010","PUBLISHED","2008","SEAR","WB_LI","NPL","MLE","1.4 [0.3-3.8]","1.40000","0.30000","3.80000",""
"WHOSIS_000010","PUBLISHED","2008","EUR","WB_HI","NOR","MLE","21.6 [16.8-26.2]","21.60000","16.80000","26.20000",""
"WHOSIS_000010","PUBLISHED","2008","EMR","WB_LMI","PAK","MLE","3.5 [1.4-6.7]","3.50000","1.40000","6.70000",""
"WHOSIS_000010","PUBLISHED","2008","AMR","WB_UMI","PER","MLE","11.1 [8.4-14.4]","11.10000","8.40000","14.40000",""
"WHOSIS_000010","PUBLISHED","2008","EUR","WB_UMI","POL","MLE","22.9 [18.7-26.8]","22.90000","18.70000","26.80000",""
"WHOSIS_000010","PUBLISHED","2008","AFR","WB_LI","RWA","MLE","4.9 [0.7-13.4]","4.90000","0.70000","13.40000",""
"WHOSIS_000010","PUBLISHED","2008","AMR","WB_UMI","LCA","MLE","11.9 [4.7-22.3]","11.90000","4.70000","22.30000",""
"WHOSIS_000010","PUBLISHED","2008","EUR","WB_UMI","SRB","MLE","25.5 [21.4-29.5]","25.50000","21.40000","29.50000",""
"WHOSIS_000010","PUBLISHED","2008","AFR","WB_LI","SLE","MLE","3.6 [2.3-5.3]","3.60000","2.30000","5.30000",""
"WHOSIS_000010","PUBLISHED","2008","EMR","WB_LI","SOM","MLE","3.4 [0.5-9.2]","3.40000","0.50000","9.20000",""
"WHOSIS_000010","PUBLISHED","2008","EUR","WB_HI","ESP","MLE","24.9 [21.1-29.1]","24.90000","21.10000","29.10000",""
"WHOSIS_000010","PUBLISHED","2008","EMR","WB_LMI","SYR","MLE","23.8 [17.6-29.9]","23.80000","17.60000","29.90000",""
"WHOSIS_000010","PUBLISHED","2008","SEAR","WB_LMI","THA","MLE","4.9 [3.6-6.2]","4.90000","3.60000","6.20000",""
