"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","SEX","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","WEALTHDECILE","Display Value","Numeric","Low","High","Comments"
"vita","EQ_MICS","PUBLISHED","2010","AFR","CAF","","","","","CAFMICS201004","","90.1 [85.5-93.4]","90.00000","85.00000","93.00000",""
"vita","EQ_MICS","PUBLISHED","2010","AFR","CAF","","","","","CAFMICS201005","","80.0 [74.0-85.0]","80.00000","74.00000","85.00000",""
"vita","EQ_MICS","PUBLISHED","2010","AFR","CAF","","","","","CAFMICS201012","","No data","","","","Not available."
"vita","EQ_MICS","PUBLISHED","2010","AFR","CAF","","","","","CAFMICS201013","","No data","","","","Not available."
"vita","EQ_MICS","PUBLISHED","2010","AFR","CAF","","","","","CAFMICS201014","","74.2 [68.0-79.5]","74.00000","68.00000","80.00000",""
"vita","EQ_DHS","PUBLISHED","1996","AFR","TCD","","","","","TCDDHS199601","","No data","","","","Not available."
"vita","EQ_DHS","PUBLISHED","1996","AFR","TCD","","","","","TCDDHS199603","","No data","","","","Not available."
"vita","EQ_DHS","PUBLISHED","1996","AFR","TCD","","","","","TCDDHS199604","","No data","","","","Not available."
"vita","EQ_DHS","PUBLISHED","2004","AFR","TCD","","","","","TCDDHS200403","","41.9 [32.1-52.3]","42.00000","32.00000","52.00000",""
"vita","EQ_DHS","PUBLISHED","2004","AFR","TCD","","","","","TCDDHS200405","","25.4 [20.1-31.6]","25.00000","20.00000","32.00000",""
"vita","EQ_DHS","PUBLISHED","2004","AFR","TCD","","","","","TCDDHS200406","","46.5 [34.9-58.4]","46.00000","35.00000","58.00000",""
"vita","EQ_MICS","PUBLISHED","2010","AFR","TCD","","","","","TCDMICS201013","","64.8 [58.7-70.4]","65.00000","59.00000","70.00000",""
"vita","EQ_MICS","PUBLISHED","2010","AFR","TCD","","","","","TCDMICS201014","","26.6 [18.6-36.7]","27.00000","19.00000","37.00000",""
"vita","EQ_MICS","PUBLISHED","2010","AFR","TCD","","","","","TCDMICS201015","","22.7 [13.2-36.2]","23.00000","13.00000","36.00000",""
"vita","EQ_MICS","PUBLISHED","2010","AFR","TCD","","","","","TCDMICS201016","","32.4 [26.9-38.5]","32.00000","27.00000","38.00000",""
"vita","EQ_DHS","PUBLISHED","2014","AFR","TCD","","","","","TCDDHS201408","","59.8 [54.3-65.1]","60.00000","54.00000","65.00000",""
"vita","EQ_DHS","PUBLISHED","2014","AFR","TCD","","","","","TCDDHS201409","","55.0 [47.7-62.1]","55.00000","48.00000","62.00000",""
"vita","EQ_DHS","PUBLISHED","2014","AFR","TCD","","","","","TCDDHS201410","","60.4 [52.8-67.6]","60.00000","53.00000","68.00000",""
