"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","COMMUNITYACTIONTYPE","Display Value","Numeric","Low","High","Comments"
"SA_0000001722","PUBLISHED","2016","EMR","PAK","SA_COMMUNITY_PROGRAMMES","No","","","",""
"SA_0000001722","PUBLISHED","2016","EMR","PAK","SA_DATADISSEMINATION","No","","","",""
"SA_0000001722","PUBLISHED","2016","AMR","PER","SA_COMMUNITY_PROGRAMMES","Yes","","","",""
"SA_0000001722","PUBLISHED","2016","AMR","PER","SA_DATADISSEMINATION","No","","","",""
"SA_0000001722","PUBLISHED","2016","AMR","VCT","SA_PROVISION_INFORMATION","No","","","",""
"SA_0000001722","PUBLISHED","2016","AMR","VCT","SA_RESEARCH_STUDIES","No","","","",""
"SA_0000001722","PUBLISHED","2016","AMR","SUR","SA_DATADISSEMINATION","No","","","",""
"SA_0000001722","PUBLISHED","2016","AMR","TTO","SA_EARMARKED_FUNDS","Yes","","","",""
"SA_0000001722","PUBLISHED","2016","AMR","URY","SA_RESEARCH_STUDIES","No","","","",""
"SA_0000001722","PUBLISHED","2016","AMR","VEN","SA_TECHNICAL_TOOLS","Yes","","","",""
"SA_0000001722","PUBLISHED","2016","EUR","ALB","SA_EARMARKED_FUNDS","No","","","",""
"SA_0000001722","PUBLISHED","2016","EUR","ARM","SA_RESEARCH_STUDIES","No","","","",""
"SA_0000001722","PUBLISHED","2016","EUR","AUT","SA_TECHNICAL_TOOLS","No","","","",""
"SA_0000001722","PUBLISHED","2016","EUR","AZE","SA_EARMARKED_FUNDS","No","","","",""
"SA_0000001722","PUBLISHED","2016","EUR","AZE","SA_TRAINING_PROGRAMMES","Yes","","","",""
"SA_0000001722","PUBLISHED","2016","EMR","SOM","SA_PROVISION_INFORMATION","No","","","",""
"SA_0000001722","PUBLISHED","2016","EMR","SOM","SA_RESEARCH_STUDIES","No","","","",""
"SA_0000001722","PUBLISHED","2016","EMR","SDN","SA_DATADISSEMINATION","No","","","",""
"SA_0000001722","PUBLISHED","2016","EMR","SYR","SA_EARMARKED_FUNDS","No","","","",""
"SA_0000001722","PUBLISHED","2016","EMR","ARE","SA_RESEARCH_STUDIES","No","","","",""
"SA_0000001722","PUBLISHED","2016","EMR","YEM","SA_TECHNICAL_TOOLS","No","","","",""
"SA_0000001722","PUBLISHED","2016","EMR","YEM","SA_DATADISSEMINATION","No","","","",""
"SA_0000001722","PUBLISHED","2016","EUR","FRA","SA_PROVISION_INFORMATION","Yes","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","GNQ","SA_TRAINING_PROGRAMMES","Yes","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","GIN","SA_COMMUNITY_PROGRAMMES","No","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","GNB","SA_AT_RISK_GROUPS_TARGETED","No","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","KEN","SA_DATADISSEMINATION","Yes","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","LSO","SA_PROVISION_INFORMATION","No","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","LBR","SA_COMMUNITY_PROGRAMMES","No","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","MDG","SA_RESEARCH_STUDIES","No","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","MWI","SA_DATADISSEMINATION","No","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","MLI","SA_PROVISION_INFORMATION","No","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","MUS","SA_EARMARKED_FUNDS","Yes","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","ERI","SA_TECHNICAL_TOOLS","Yes","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","ETH","SA_COMMUNITY_PROGRAMMES","No","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","GAB","SA_AT_RISK_GROUPS_TARGETED","No","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","GMB","SA_TRAINING_PROGRAMMES","No","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","BWA","SA_COMMUNITY_PROGRAMMES","Yes","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","BFA","SA_RESEARCH_STUDIES","Yes","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","BDI","SA_DATADISSEMINATION","No","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","CPV","SA_PROVISION_INFORMATION","Yes","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","COM","SA_TRAINING_PROGRAMMES","No","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","COG","SA_TECHNICAL_TOOLS","No","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","CIV","SA_EARMARKED_FUNDS","No","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","COD","SA_AT_RISK_GROUPS_TARGETED","No","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","CMR","SA_TECHNICAL_TOOLS","No","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","CAF","SA_EARMARKED_FUNDS","No","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","CAF","SA_RESEARCH_STUDIES","No","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","TCD","SA_DATADISSEMINATION","No","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","GHA","SA_PROVISION_INFORMATION","Yes","","","",""
