"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","SEX","RESIDENCEAREATYPE","WEALTHQUINTILE","Display Value","Numeric","Low","High","Comments"
"EQ_KNHIV","EQ_DHS","PUBLISHED","2003","AFR","MOZ","EDLVL12PLUSYR","FMLE","","","82.1","82.10000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2003","AFR","MOZ","","FMLE","","WQ1","66.3","66.30000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2003","AFR","MOZ","","FMLE","","WQ2","70.9","70.90000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2003","AFR","MOZ","","FMLE","","WQ3","73.3","73.30000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2003","AFR","MOZ","","FMLE","","WQ4","74.5","74.50000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2003","AFR","MOZ","","FMLE","","WQ5","76.8","76.80000","","",""
"EQ_KNHIV","EQ_MICS","PUBLISHED","2008","AFR","MOZ","","FMLE","","","64.8","64.80000","","",""
"EQ_KNHIV","EQ_MICS","PUBLISHED","2008","AFR","MOZ","","FMLE","URB","","77.1","77.10000","","",""
"EQ_KNHIV","EQ_MICS","PUBLISHED","2008","AFR","MOZ","","FMLE","RUR","","57.8","57.80000","","",""
"EQ_KNHIV","EQ_MICS","PUBLISHED","2008","AFR","MOZ","EDLVL00TO05YR","FMLE","","","71.8","71.80000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2000","AFR","NAM","","FMLE","","WQ2","66.9","66.90000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2013","AFR","NAM","","FMLE","","WQ5","88.9","88.90000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","1996","SEAR","NPL","","FMLE","","","4.7","4.70000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","1996","SEAR","NPL","","FMLE","URB","","11.5","11.50000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","1996","SEAR","NPL","","FMLE","RUR","","4.1","4.10000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","1996","SEAR","NPL","EDLVL00TO05YR","FMLE","","","7.2","7.20000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","1996","SEAR","NPL","EDLVL06TO11YR","FMLE","","","18.9","18.90000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","1996","SEAR","NPL","EDLVL12PLUSYR","FMLE","","","19.5","19.50000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","1996","SEAR","NPL","","FMLE","","WQ1","4.1","4.10000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","1996","SEAR","NPL","","FMLE","","WQ2","7.4","7.40000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","1996","SEAR","NPL","","FMLE","","WQ3","11.6","11.60000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","1996","SEAR","NPL","","FMLE","","WQ4","14.3","14.30000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","1996","SEAR","NPL","","FMLE","","WQ5","19.6","19.60000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2001","SEAR","NPL","","FMLE","","","35.3","35.30000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2001","SEAR","NPL","","FMLE","URB","","64.2","64.20000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2001","SEAR","NPL","","FMLE","RUR","","32.2","32.20000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2001","SEAR","NPL","EDLVL00TO05YR","FMLE","","","51.9","51.90000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2001","SEAR","NPL","EDLVL06TO11YR","FMLE","","","83.2","83.20000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2001","SEAR","NPL","EDLVL12PLUSYR","FMLE","","","85.4","85.40000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2001","SEAR","NPL","","FMLE","","WQ1","30.5","30.50000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2001","SEAR","NPL","","FMLE","","WQ2","60.2","60.20000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2001","SEAR","NPL","","FMLE","","WQ3","67.3","67.30000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2001","SEAR","NPL","","FMLE","","WQ4","73.4","73.40000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2001","SEAR","NPL","","FMLE","","WQ5","78.8","78.80000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2006","SEAR","NPL","","FMLE","","","55.0","55.00000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2006","SEAR","NPL","","FMLE","URB","","71.0","71.00000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2000","AFR","NAM","","FMLE","","WQ3","79.6","79.60000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2000","AFR","NAM","","FMLE","","WQ4","76.0","76.00000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2000","AFR","NAM","","FMLE","","WQ5","82.8","82.80000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2006","AFR","NAM","","FMLE","","","80.4","80.40000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2006","AFR","NAM","","FMLE","URB","","81.4","81.40000","","",""
