"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","RSUDTREATMENTLOCATION","Display Value","Numeric","Low","High","Comments"
"RSUD_650","PUBLISHED","2014","WPR","FSM","IN_THE_CAPITAL_CITY","No","","","",""
"RSUD_650","PUBLISHED","2014","WPR","FSM","IN_OTHER_MAJOR_CITIES","No","","","",""
"RSUD_650","PUBLISHED","2014","WPR","FSM","IN_OTHER_AREAS","No","","","",""
"RSUD_650","PUBLISHED","2014","AFR","GAB","IN_THE_CAPITAL_CITY","No","","","",""
"RSUD_650","PUBLISHED","2014","AFR","GAB","IN_OTHER_MAJOR_CITIES","No","","","",""
"RSUD_650","PUBLISHED","2014","AFR","GAB","IN_OTHER_AREAS","No","","","",""
"RSUD_650","PUBLISHED","2014","EUR","GBR","IN_THE_CAPITAL_CITY","Yes","","","",""
"RSUD_650","PUBLISHED","2014","EUR","GEO","IN_THE_CAPITAL_CITY","No","","","",""
"RSUD_650","PUBLISHED","2014","EUR","GEO","IN_OTHER_MAJOR_CITIES","No","","","",""
"RSUD_650","PUBLISHED","2014","EUR","GEO","IN_OTHER_AREAS","No","","","",""
"RSUD_650","PUBLISHED","2014","AFR","GHA","IN_THE_CAPITAL_CITY","No","","","",""
"RSUD_650","PUBLISHED","2014","AFR","GHA","IN_OTHER_MAJOR_CITIES","No","","","",""
"RSUD_650","PUBLISHED","2014","AFR","GHA","IN_OTHER_AREAS","No","","","",""
"RSUD_650","PUBLISHED","2014","EUR","GRC","IN_THE_CAPITAL_CITY","Yes","","","",""
"RSUD_650","PUBLISHED","2014","EUR","GRC","IN_OTHER_MAJOR_CITIES","Yes","","","",""
"RSUD_650","PUBLISHED","2014","AMR","GRD","IN_THE_CAPITAL_CITY","No","","","",""
"RSUD_650","PUBLISHED","2014","AMR","GRD","IN_OTHER_MAJOR_CITIES","No","","","",""
"RSUD_650","PUBLISHED","2014","AMR","GRD","IN_OTHER_AREAS","No","","","",""
"RSUD_650","PUBLISHED","2014","AMR","GTM","IN_THE_CAPITAL_CITY","No","","","",""
"RSUD_650","PUBLISHED","2014","AMR","GTM","IN_OTHER_MAJOR_CITIES","No","","","",""
"RSUD_650","PUBLISHED","2014","AMR","GTM","IN_OTHER_AREAS","No","","","",""
"RSUD_650","PUBLISHED","2014","AMR","GUY","IN_THE_CAPITAL_CITY","No","","","",""
"RSUD_650","PUBLISHED","2014","AMR","GUY","IN_OTHER_MAJOR_CITIES","No","","","",""
"RSUD_650","PUBLISHED","2014","AMR","GUY","IN_OTHER_AREAS","No","","","",""
"RSUD_650","PUBLISHED","2014","AMR","HND","IN_THE_CAPITAL_CITY","No","","","",""
"RSUD_650","PUBLISHED","2014","AMR","HND","IN_OTHER_MAJOR_CITIES","No","","","",""
"RSUD_650","PUBLISHED","2014","AMR","HND","IN_OTHER_AREAS","No","","","",""
"RSUD_650","PUBLISHED","2014","EUR","HRV","IN_THE_CAPITAL_CITY","Yes","","","",""
"RSUD_650","PUBLISHED","2014","EUR","HRV","IN_OTHER_MAJOR_CITIES","Yes","","","",""
"RSUD_650","PUBLISHED","2014","AMR","HTI","IN_THE_CAPITAL_CITY","No","","","",""
"RSUD_650","PUBLISHED","2014","AMR","HTI","IN_OTHER_MAJOR_CITIES","No","","","",""
"RSUD_650","PUBLISHED","2014","AMR","HTI","IN_OTHER_AREAS","No","","","",""
"RSUD_650","PUBLISHED","2014","EUR","HUN","IN_THE_CAPITAL_CITY","Yes","","","",""
"RSUD_650","PUBLISHED","2014","SEAR","IDN","IN_THE_CAPITAL_CITY","No","","","",""
"RSUD_650","PUBLISHED","2014","SEAR","IDN","IN_OTHER_MAJOR_CITIES","No","","","",""
"RSUD_650","PUBLISHED","2014","SEAR","IDN","IN_OTHER_AREAS","No","","","",""
"RSUD_650","PUBLISHED","2014","SEAR","IND","IN_THE_CAPITAL_CITY","No","","","",""
"RSUD_650","PUBLISHED","2014","SEAR","IND","IN_OTHER_MAJOR_CITIES","No","","","",""
"RSUD_650","PUBLISHED","2014","SEAR","IND","IN_OTHER_AREAS","No","","","",""
"RSUD_650","PUBLISHED","2014","EUR","IRL","IN_THE_CAPITAL_CITY","Yes","","","",""
"RSUD_650","PUBLISHED","2014","EUR","IRL","IN_OTHER_AREAS","Yes","","","",""
"RSUD_650","PUBLISHED","2014","EMR","IRN","IN_THE_CAPITAL_CITY","No","","","",""
"RSUD_650","PUBLISHED","2014","EMR","IRN","IN_OTHER_MAJOR_CITIES","No","","","",""
"RSUD_650","PUBLISHED","2014","EMR","IRN","IN_OTHER_AREAS","No","","","",""
"RSUD_650","PUBLISHED","2014","EMR","IRQ","IN_THE_CAPITAL_CITY","No","","","",""
"RSUD_650","PUBLISHED","2014","EMR","IRQ","IN_OTHER_MAJOR_CITIES","No","","","",""
"RSUD_650","PUBLISHED","2014","EMR","IRQ","IN_OTHER_AREAS","No","","","",""
"RSUD_650","PUBLISHED","2014","EUR","ISL","IN_THE_CAPITAL_CITY","Yes","","","",""
"RSUD_650","PUBLISHED","2014","EUR","ISR","IN_THE_CAPITAL_CITY","Yes","","","",""
"RSUD_650","PUBLISHED","2014","EUR","ISR","IN_OTHER_MAJOR_CITIES","Yes","","","",""
"RSUD_650","PUBLISHED","2014","EUR","ISR","IN_OTHER_AREAS","Yes","","","",""
"RSUD_650","PUBLISHED","2014","EUR","ITA","IN_THE_CAPITAL_CITY","Yes","","","",""
"RSUD_650","PUBLISHED","2014","EUR","ITA","IN_OTHER_MAJOR_CITIES","Yes","","","",""
"RSUD_650","PUBLISHED","2014","AMR","JAM","IN_THE_CAPITAL_CITY","Yes","","","",""
"RSUD_650","PUBLISHED","2014","EMR","JOR","IN_THE_CAPITAL_CITY","No","","","",""
"RSUD_650","PUBLISHED","2014","EMR","JOR","IN_OTHER_MAJOR_CITIES","No","","","",""
"RSUD_650","PUBLISHED","2014","EMR","JOR","IN_OTHER_AREAS","No","","","",""
"RSUD_650","PUBLISHED","2014","WPR","JPN","IN_THE_CAPITAL_CITY","No","","","",""
"RSUD_650","PUBLISHED","2014","WPR","JPN","IN_OTHER_MAJOR_CITIES","No","","","",""
"RSUD_650","PUBLISHED","2014","WPR","JPN","IN_OTHER_AREAS","No","","","",""
"RSUD_650","PUBLISHED","2014","EUR","KAZ","IN_THE_CAPITAL_CITY","Yes","","","",""
"RSUD_650","PUBLISHED","2014","EUR","KAZ","IN_OTHER_MAJOR_CITIES","Yes","","","",""
"RSUD_650","PUBLISHED","2014","AFR","KEN","IN_THE_CAPITAL_CITY","No","","","",""
"RSUD_650","PUBLISHED","2014","AFR","KEN","IN_OTHER_MAJOR_CITIES","No","","","",""
"RSUD_650","PUBLISHED","2014","AFR","KEN","IN_OTHER_AREAS","No","","","",""
"RSUD_650","PUBLISHED","2014","EUR","KGZ","IN_THE_CAPITAL_CITY","No","","","",""
"RSUD_650","PUBLISHED","2014","EUR","KGZ","IN_OTHER_MAJOR_CITIES","No","","","",""
"RSUD_650","PUBLISHED","2014","EUR","KGZ","IN_OTHER_AREAS","No","","","",""
"RSUD_650","PUBLISHED","2014","WPR","KHM","IN_THE_CAPITAL_CITY","No","","","",""
"RSUD_650","PUBLISHED","2014","WPR","KHM","IN_OTHER_MAJOR_CITIES","No","","","",""
"RSUD_650","PUBLISHED","2014","WPR","KHM","IN_OTHER_AREAS","No","","","",""
"RSUD_650","PUBLISHED","2014","WPR","KIR","IN_THE_CAPITAL_CITY","No","","","",""
"RSUD_650","PUBLISHED","2014","WPR","KIR","IN_OTHER_MAJOR_CITIES","No","","","",""
"RSUD_650","PUBLISHED","2014","WPR","KIR","IN_OTHER_AREAS","No","","","",""
"RSUD_650","PUBLISHED","2014","WPR","KOR","IN_THE_CAPITAL_CITY","Yes","","","",""
"RSUD_650","PUBLISHED","2014","WPR","KOR","IN_OTHER_MAJOR_CITIES","Yes","","","",""
"RSUD_650","PUBLISHED","2014","EMR","KWT","IN_THE_CAPITAL_CITY","No","","","",""
"RSUD_650","PUBLISHED","2014","EMR","KWT","IN_OTHER_MAJOR_CITIES","No","","","",""
"RSUD_650","PUBLISHED","2014","EMR","KWT","IN_OTHER_AREAS","No","","","",""
"RSUD_650","PUBLISHED","2014","WPR","LAO","IN_THE_CAPITAL_CITY","No","","","",""
"RSUD_650","PUBLISHED","2014","WPR","LAO","IN_OTHER_MAJOR_CITIES","No","","","",""
"RSUD_650","PUBLISHED","2014","WPR","LAO","IN_OTHER_AREAS","No","","","",""
"RSUD_650","PUBLISHED","2014","EMR","LBN","IN_THE_CAPITAL_CITY","No","","","",""
"RSUD_650","PUBLISHED","2014","EMR","LBN","IN_OTHER_MAJOR_CITIES","No","","","",""
"RSUD_650","PUBLISHED","2014","EMR","LBN","IN_OTHER_AREAS","No","","","",""
"RSUD_650","PUBLISHED","2014","EMR","LBY","IN_THE_CAPITAL_CITY","No","","","",""
"RSUD_650","PUBLISHED","2014","EMR","LBY","IN_OTHER_MAJOR_CITIES","No","","","",""
"RSUD_650","PUBLISHED","2014","EMR","LBY","IN_OTHER_AREAS","No","","","",""
"RSUD_650","PUBLISHED","2014","AMR","LCA","IN_THE_CAPITAL_CITY","No","","","",""
"RSUD_650","PUBLISHED","2014","AMR","LCA","IN_OTHER_MAJOR_CITIES","No","","","",""
"RSUD_650","PUBLISHED","2014","AMR","LCA","IN_OTHER_AREAS","No","","","",""
"RSUD_650","PUBLISHED","2014","SEAR","LKA","IN_THE_CAPITAL_CITY","No","","","",""
"RSUD_650","PUBLISHED","2014","SEAR","LKA","IN_OTHER_MAJOR_CITIES","No","","","",""
"RSUD_650","PUBLISHED","2014","SEAR","LKA","IN_OTHER_AREAS","No","","","",""
"RSUD_650","PUBLISHED","2014","EUR","LTU","IN_THE_CAPITAL_CITY","No","","","",""
"RSUD_650","PUBLISHED","2014","EUR","LTU","IN_OTHER_MAJOR_CITIES","No","","","",""
"RSUD_650","PUBLISHED","2014","EUR","LTU","IN_OTHER_AREAS","No","","","",""
"RSUD_650","PUBLISHED","2014","EUR","LVA","IN_THE_CAPITAL_CITY","No","","","",""
"RSUD_650","PUBLISHED","2014","EUR","LVA","IN_OTHER_MAJOR_CITIES","No","","","",""
"RSUD_650","PUBLISHED","2014","EUR","LVA","IN_OTHER_AREAS","No","","","",""
"RSUD_650","PUBLISHED","2014","EMR","MAR","IN_THE_CAPITAL_CITY","No","","","",""
"RSUD_650","PUBLISHED","2014","EMR","MAR","IN_OTHER_MAJOR_CITIES","No","","","",""
"RSUD_650","PUBLISHED","2014","EMR","MAR","IN_OTHER_AREAS","No","","","",""
"RSUD_650","PUBLISHED","2014","EUR","MDA","IN_THE_CAPITAL_CITY","No","","","",""
"RSUD_650","PUBLISHED","2014","EUR","MDA","IN_OTHER_MAJOR_CITIES","No","","","",""
"RSUD_650","PUBLISHED","2014","EUR","MDA","IN_OTHER_AREAS","No","","","",""
"RSUD_650","PUBLISHED","2014","AFR","MDG","IN_THE_CAPITAL_CITY","No","","","",""
"RSUD_650","PUBLISHED","2014","AFR","MDG","IN_OTHER_MAJOR_CITIES","No","","","",""
"RSUD_650","PUBLISHED","2014","AFR","MDG","IN_OTHER_AREAS","No","","","",""
