"GHO","PUBLISHSTATE","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"M_def_1_prev_adult","PUBLISHED","EMR","EGY","BTSX","24.4","24.40000","","",""
"M_def_1_prev_adult","PUBLISHED","EMR","SYR","BTSX","24.7","24.70000","","",""
"M_def_1_prev_adult","PUBLISHED","EMR","TUN","BTSX","24.9","24.90000","","",""
"M_def_1_prev_adult","PUBLISHED","EUR","CHE","BTSX","25.0","25.00000","","",""
"M_def_1_prev_adult","PUBLISHED","WPR","SGP","MLE","25.4","25.40000","","",""
"M_def_1_prev_adult","PUBLISHED","EUR","FIN","MLE","25.6","25.60000","","",""
"M_def_1_prev_adult","PUBLISHED","AFR","TZA","MLE","26.0","26.00000","","",""
"M_def_1_prev_adult","PUBLISHED","EUR","NLD","MLE","26.0","26.00000","","",""
"M_def_1_prev_adult","PUBLISHED","WPR","SLB","FMLE","26.1","26.10000","","",""
"M_def_1_prev_adult","PUBLISHED","AMR","BHS","MLE","26.9","26.90000","","",""
"M_def_1_prev_adult","PUBLISHED","SEAR","NPL","MLE","27.0","27.00000","","",""
"M_def_1_prev_adult","PUBLISHED","SEAR","LKA","MLE","29.9","29.90000","","",""
"M_def_1_prev_adult","PUBLISHED","EUR","MNE","BTSX","31.0","31.00000","","",""
"M_def_1_prev_adult","PUBLISHED","AFR","BWA","MLE","32.8","32.80000","","",""
"M_def_1_prev_adult","PUBLISHED","AFR","MRT","MLE","34.1","34.10000","","",""
"M_def_1_prev_adult","PUBLISHED","EUR","FRA","BTSX","34.1","34.10000","","",""
"M_def_1_prev_adult","PUBLISHED","EUR","LVA","BTSX","34.3","34.30000","","",""
"M_def_1_prev_adult","PUBLISHED","SEAR","MDV","MLE","34.7","34.70000","","",""
"M_def_1_prev_adult","PUBLISHED","EMR","AFG","MLE","35.2","35.20000","","",""
"M_def_1_prev_adult","PUBLISHED","EUR","BGR","BTSX","36.8","36.80000","","",""
"M_def_1_prev_adult","PUBLISHED","AMR","CHL","MLE","37.0","37.00000","","",""
"M_def_1_prev_adult","PUBLISHED","EMR","KWT","MLE","38.3","38.30000","","",""
"M_def_1_prev_adult","PUBLISHED","EUR","BGR","MLE","41.6","41.60000","","",""
"M_def_1_prev_adult","PUBLISHED","EUR","ALB","MLE","42.5","42.50000","","",""
