"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","AGEGROUP","Display Value","Numeric","Low","High","Comments"
"MALARIA_15049","PUBLISHED","1993","EUR","DNK","","113","113.00000","","",""
"MALARIA_15049","PUBLISHED","1993","EMR","DJI","","4166","4166.00000","","",""
"MALARIA_15049","PUBLISHED","1993","AMR","DOM","","987","987.00000","","",""
"MALARIA_15049","PUBLISHED","1993","AMR","ECU","","46859","46859.00000","","",""
"MALARIA_15049","PUBLISHED","1993","EMR","EGY","","17","17.00000","","",""
"MALARIA_15049","PUBLISHED","1993","AMR","SLV","","3887","3887.00000","","",""
"MALARIA_15049","PUBLISHED","1993","AFR","GNQ","","17867","17867.00000","","",""
"MALARIA_15049","PUBLISHED","1993","EUR","EST","","3","3.00000","","",""
"MALARIA_15049","PUBLISHED","1993","AFR","ETH","","305616","305616.00000","","",""
"MALARIA_15049","PUBLISHED","1993","EUR","FIN","","28","28.00000","","",""
"MALARIA_15049","PUBLISHED","1994","AMR","BRA","","564406","564406.00000","","",""
"MALARIA_15049","PUBLISHED","1994","EUR","BGR","","62","62.00000","","",""
"MALARIA_15049","PUBLISHED","1994","AFR","BFA","","472355","472355.00000","","",""
"MALARIA_15049","PUBLISHED","1994","AFR","BDI","","831481","831481.00000","","",""
"MALARIA_15049","PUBLISHED","1994","WPR","KHM","","85012","85012.00000","","",""
"MALARIA_15049","PUBLISHED","1994","AFR","CMR","","189066","189066.00000","","",""
"MALARIA_15049","PUBLISHED","1994","AFR","CPV","","21","21.00000","","",""
"MALARIA_15049","PUBLISHED","1994","AFR","CAF","","82057","82057.00000","","",""
"MALARIA_15049","PUBLISHED","1994","AFR","TCD","","278225","278225.00000","","",""
"MALARIA_15049","PUBLISHED","1994","WPR","CHN","","62000","62000.00000","","",""
"MALARIA_15049","PUBLISHED","1994","AMR","COL","","127218","127218.00000","","",""
"MALARIA_15049","PUBLISHED","1994","AFR","COM","","13860","13860.00000","","",""
"MALARIA_15049","PUBLISHED","1994","AFR","COG","","35957","35957.00000","","",""
