"GHO","PUBLISHSTATE","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"Camp_airtime","PUBLISHED","AFR","ERI","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","AMR","VCT","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","AMR","VEN","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","EMR","BHR","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","EMR","MAR","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","AFR","ZAF","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","EUR","MNE","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","EUR","SRB","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","EUR","UZB","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","SEAR","IDN","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","EUR","LVA","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","EUR","MKD","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","WPR","COK","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","AFR","MRT","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","AFR","RWA","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","AMR","BOL","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","AMR","GRD","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","AMR","HTI","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","EMR","AFG","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","EUR","CYP","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","AFR","NAM","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","AMR","CHL","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","AMR","DMA","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","SEAR","TLS","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","AFR","AGO","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","AFR","COM","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","AFR","LSO","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","AMR","BLZ","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","EUR","MLT","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","EMR","SOM","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","EUR","ESP","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","EUR","ISL","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","AMR","DOM","Not applicable","","","","Data not required/not applicable"
