"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"SA_0000001830","SA_0000001830_AND","PUBLISHED","2016","EUR","AND","5.26","5.26000","","",""
"SA_0000001830","SA_0000001830_AUT","PUBLISHED","2016","EUR","AUT","8.18","8.18000","","",""
"SA_0000001830","SA_0000001830_BLR","PUBLISHED","2016","EUR","BLR","5.21","5.21000","","",""
"SA_0000001830","SA_0000001830_LVA","PUBLISHED","2016","EUR","LVA","8.45","8.45000","","",""
"SA_0000001830","SA_0000001830_LUX","PUBLISHED","2016","EUR","LUX","8.18","8.18000","","",""
"SA_0000001830","SA_0000001830_PRT","PUBLISHED","2016","EUR","PRT","6.76","6.76000","","",""
"SA_0000001830","SA_0000001830_ROU","PUBLISHED","2016","EUR","ROU","3.88","3.88000","","",""
"SA_0000001830","SA_0000001830_NPL","PUBLISHED","2016","SEAR","NPL","5.86","5.86000","","",""
"SA_0000001830","SA_0000001830_THA","PUBLISHED","2016","SEAR","THA","15.43","15.43000","","",""
"SA_0000001830","SA_0000001830_FJI","PUBLISHED","2016","WPR","FJI","1.36","1.36000","","",""
"SA_0000001830","SA_0000001830_LSO","PUBLISHED","2016","AFR","LSO","10.51","10.51000","","",""
"SA_0000001830","SA_0000001830_ATG","PUBLISHED","2016","AMR","ATG","4.99","4.99000","","",""
