"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","IHRSPARCAPACITYLEVEL","Display Value","Numeric","Low","High","Comments"
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","SMR","IHRSPARCAPLEVEL06_C_6_1","20","20.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EMR","SOM","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","SRB","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AFR","SSD","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AFR","STP","IHRSPARCAPLEVEL06_C_6_1","40","40.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AMR","SUR","IHRSPARCAPLEVEL06_C_6_1","100","100.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","SVK","IHRSPARCAPLEVEL06_C_6_1","100","100.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","SVN","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","SWE","IHRSPARCAPLEVEL06_C_6_1","100","100.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AFR","SWZ","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AFR","SYC","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EMR","SYR","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AFR","TCD","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AFR","TGO","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","SEAR","THA","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","TJK","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","TKM","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","SEAR","TLS","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","WPR","TON","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AMR","TTO","IHRSPARCAPLEVEL06_C_6_1","60","60.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EMR","TUN","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","TUR","IHRSPARCAPLEVEL06_C_6_1","100","100.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","WPR","TUV","IHRSPARCAPLEVEL06_C_6_1","60","60.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AFR","TZA","IHRSPARCAPLEVEL06_C_6_1","60","60.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AFR","UGA","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","UKR","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AMR","URY","IHRSPARCAPLEVEL06_C_6_1","100","100.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AMR","USA","IHRSPARCAPLEVEL06_C_6_1","100","100.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","UZB","IHRSPARCAPLEVEL06_C_6_1","60","60.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AMR","VCT","IHRSPARCAPLEVEL06_C_6_1","100","100.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AMR","VEN","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","WPR","VNM","IHRSPARCAPLEVEL06_C_6_1","60","60.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","WPR","VUT","IHRSPARCAPLEVEL06_C_6_1","100","100.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","WPR","WSM","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EMR","YEM","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AFR","ZAF","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AFR","ZMB","IHRSPARCAPLEVEL06_C_6_1","60","60.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AFR","ZWE","IHRSPARCAPLEVEL06_C_6_1","60","60.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EMR","AFG","IHRSPARCAPLEVEL06_C_6_2","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AFR","AGO","IHRSPARCAPLEVEL06_C_6_2","100","100.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","ALB","IHRSPARCAPLEVEL06_C_6_2","Other","","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","AND","IHRSPARCAPLEVEL06_C_6_2","20","20.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EMR","ARE","IHRSPARCAPLEVEL06_C_6_2","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AMR","ARG","IHRSPARCAPLEVEL06_C_6_2","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","ARM","IHRSPARCAPLEVEL06_C_6_2","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AMR","ATG","IHRSPARCAPLEVEL06_C_6_2","40","40.00000","","",""
