"GHO","PUBLISHSTATE","YEAR","REGION","UNREGION","WORLDBANKINCOMEGROUP","WORLDBANKREGION","UNSDGREGION","Display Value","Numeric","Low","High","Comments"
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2000","EUR","","","","","1.00","0.99591","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2000","GLOBAL","UN_World","WB_WORLD_INCOME","GLOBAL","UNSDG_WORLD","1.74","1.73767","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2000","SEAR","","","","","2.02","2.02289","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2000","WPR","","","","","2.38","2.38035","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2000","","","","","UNSDG_CENTRALASIASOUTHERNASIA","2.16","2.16301","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2000","","","","","UNSDG_EASTERNASIASOUTHEASTERNASIA","2.09","2.09152","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2000","","","","","UNSDG_EUROPE","0.88","0.87507","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2000","","","","","UNSDG_LAC","1.87","1.86586","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2000","","","","","UNSDG_NORTHERNAMR","1.01","1.00504","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2000","","","","","UNSDG_OCEANIA","0.42","0.41504","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2000","","","","","UNSDG_SUBSAHARANAFRICA","1.17","1.16587","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2000","","","","","UNSDG_WESTERNASIANORTHERNAFR","1.31","1.31167","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2000","","UN_Africa","","","","1.15","1.15006","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2000","","UN_Asia","","","","2.09","2.09284","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2000","","UN_Europe","","","","0.88","0.87507","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2000","","UN_Latin America_Caribbean","","","","1.87","1.86586","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2000","","UN_Northern_America","","","","1.01","1.00504","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2000","","UN_Oceania","","","","0.42","0.41504","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2000","","","WB_HI","","","0.88","0.87572","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2000","","","WB_LI","","","1.80","1.80190","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2000","","","WB_LMI","","","2.12","2.11840","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2000","","","WB_UMI","","","1.48","1.48281","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2000","","","","WB_EAP","","2.07","2.06542","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2000","","","","WB_ECA","","1.00","0.99558","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2000","","","","WB_LAC","","1.87","1.86586","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2000","","","","WB_MNA","","1.44","1.43796","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2000","","","","WB_NAR","","1.01","1.00511","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2000","","","","WB_SAR","","2.17","2.17051","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2000","","","","WB_SSA","","1.18","1.18261","","",""
