"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","ENVCAUSE","Display Value","Numeric","Low","High","Comments"
"AIR_51","PUBLISHED","2016","AMR","ATG","FMLE","ENVCAUSE113","0 [0–1]","0.43852","0.02998","1.43916",""
"AIR_51","PUBLISHED","2016","AMR","ATG","FMLE","ENVCAUSE068","0 [0–0]","0.05731","0.00378","0.17646",""
"AIR_51","PUBLISHED","2016","AMR","ATG","FMLE","ENVCAUSE000","1 [0–5]","1.47584","0.10085","4.76397",""
"AIR_51","PUBLISHED","2016","AMR","ATG","FMLE","ENVCAUSE118","0 [0–1]","0.18176","0.01163","0.61735",""
"AIR_51","PUBLISHED","2016","AMR","ATG","MLE","ENVCAUSE068","0 [0–0]","0.05865","0.00414","0.18213",""
"AIR_51","PUBLISHED","2016","AMR","ATG","MLE","ENVCAUSE039","1 [0–2]","0.53454","0.03827","1.73165",""
"AIR_51","PUBLISHED","2016","AMR","ATG","MLE","ENVCAUSE113","1 [0–2]","0.53019","0.03508","1.70782",""
"AIR_51","PUBLISHED","2016","AMR","ATG","MLE","ENVCAUSE114","0 [0–1]","0.21746","0.01647","0.65714",""
"AIR_51","PUBLISHED","2016","AMR","ATG","MLE","ENVCAUSE000","2 [0–5]","1.52362","0.10697","5.08191",""
"AIR_51","PUBLISHED","2016","AMR","ATG","MLE","ENVCAUSE118","0 [0–1]","0.18278","0.00568","0.70049",""
"AIR_51","PUBLISHED","2016","WPR","AUS","BTSX","ENVCAUSE113","0 [0–0]","0.00000","0.00000","0.00000",""
"AIR_51","PUBLISHED","2016","WPR","AUS","BTSX","ENVCAUSE039","0 [0–0]","0.00000","0.00000","0.00000",""
"AIR_51","PUBLISHED","2016","WPR","AUS","BTSX","ENVCAUSE114","0 [0–0]","0.00000","0.00000","0.00000",""
"AIR_51","PUBLISHED","2016","WPR","AUS","BTSX","ENVCAUSE068","0 [0–0]","0.00000","0.00000","0.00000",""
"AIR_51","PUBLISHED","2016","WPR","AUS","BTSX","ENVCAUSE118","0 [0–0]","0.00000","0.00000","0.00000",""
"AIR_51","PUBLISHED","2016","WPR","AUS","BTSX","ENVCAUSE000","0 [0–0]","0.00000","0.00000","0.00000",""
"AIR_51","PUBLISHED","2016","WPR","AUS","FMLE","ENVCAUSE068","0 [0–0]","0.00000","0.00000","0.00000",""
"AIR_51","PUBLISHED","2016","WPR","AUS","FMLE","ENVCAUSE113","0 [0–0]","0.00000","0.00000","0.00000",""
"AIR_51","PUBLISHED","2016","WPR","AUS","FMLE","ENVCAUSE039","0 [0–0]","0.00000","0.00000","0.00000",""
"AIR_51","PUBLISHED","2016","WPR","AUS","FMLE","ENVCAUSE114","0 [0–0]","0.00000","0.00000","0.00000",""
"AIR_51","PUBLISHED","2016","WPR","AUS","FMLE","ENVCAUSE118","0 [0–0]","0.00000","0.00000","0.00000",""
"AIR_51","PUBLISHED","2016","WPR","AUS","FMLE","ENVCAUSE000","0 [0–0]","0.00000","0.00000","0.00000",""
"AIR_51","PUBLISHED","2016","WPR","AUS","MLE","ENVCAUSE039","0 [0–0]","0.00000","0.00000","0.00000",""
"AIR_51","PUBLISHED","2016","WPR","AUS","MLE","ENVCAUSE113","0 [0–0]","0.00000","0.00000","0.00000",""
"AIR_51","PUBLISHED","2016","WPR","AUS","MLE","ENVCAUSE114","0 [0–0]","0.00000","0.00000","0.00000",""
"AIR_51","PUBLISHED","2016","WPR","AUS","MLE","ENVCAUSE068","0 [0–0]","0.00000","0.00000","0.00000",""
"AIR_51","PUBLISHED","2016","WPR","AUS","MLE","ENVCAUSE118","0 [0–0]","0.00000","0.00000","0.00000",""
"AIR_51","PUBLISHED","2016","EUR","AZE","BTSX","ENVCAUSE118","1 [0–3]","0.74522","0.01202","2.69107",""
"AIR_51","PUBLISHED","2016","EUR","AZE","FMLE","ENVCAUSE068","0 [0–1]","0.27265","0.00399","0.96709",""
"AIR_51","PUBLISHED","2016","EUR","AZE","FMLE","ENVCAUSE113","4 [0–15]","4.03274","0.05715","14.99083",""
"AIR_51","PUBLISHED","2016","EUR","AZE","FMLE","ENVCAUSE039","1 [0–2]","0.73800","0.01085","2.46483",""
"AIR_51","PUBLISHED","2016","EUR","AZE","FMLE","ENVCAUSE114","1 [0–5]","1.39631","0.01968","5.14786",""
"AIR_51","PUBLISHED","2016","EUR","AZE","FMLE","ENVCAUSE118","1 [0–3]","0.84274","0.01195","3.19155",""
"AIR_51","PUBLISHED","2016","EUR","AZE","FMLE","ENVCAUSE000","7 [0–26]","7.28244","0.10071","26.44658",""
"AIR_51","PUBLISHED","2016","EUR","AZE","MLE","ENVCAUSE039","1 [0–2]","0.74808","0.01053","2.46522",""
"AIR_51","PUBLISHED","2016","EUR","AZE","MLE","ENVCAUSE113","5 [0–17]","4.78026","0.06458","17.42220",""
"AIR_51","PUBLISHED","2016","EUR","AZE","MLE","ENVCAUSE114","1 [0–4]","1.15944","0.01645","4.17338",""
"AIR_51","PUBLISHED","2016","EUR","AZE","MLE","ENVCAUSE068","1 [0–3]","0.72131","0.01040","2.61156",""
"AIR_51","PUBLISHED","2016","EUR","AZE","MLE","ENVCAUSE000","8 [0–29]","8.05597","0.11141","29.09584",""
