"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","DHSMICSGEOREGION","Display Value","Numeric","Low","High","Comments"
"overwgt3","EQ_DHS","PUBLISHED","2008","WPR","PHL","PHLDHS200802","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2008","WPR","PHL","PHLDHS200807","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2008","WPR","PHL","PHLDHS200809","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2008","WPR","PHL","PHLDHS200811","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2008","WPR","PHL","PHLDHS200816","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2013","WPR","PHL","PHLDHS201307","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2013","WPR","PHL","PHLDHS201309","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2013","WPR","PHL","PHLDHS201314","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2013","WPR","PHL","PHLDHS201316","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1997","AFR","SEN","SENDHS199701","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1998","AFR","ZAF","ZAFDHS199807","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1998","AFR","ZAF","ZAFDHS199809","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1997","WPR","VNM","VNMDHS199707","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2002","WPR","VNM","VNMDHS200206","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1993","SEAR","BGD","BGDDHS199304","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1993","SEAR","BGD","BGDDHS199305","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1994","SEAR","IDN","IDNDHS199402","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1994","SEAR","IDN","IDNDHS199403","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1994","SEAR","IDN","IDNDHS199404","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1994","SEAR","IDN","IDNDHS199405","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1994","SEAR","IDN","IDNDHS199419","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1994","SEAR","IDN","IDNDHS199420","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1994","SEAR","IDN","IDNDHS199421","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1994","SEAR","IDN","IDNDHS199422","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1997","SEAR","IDN","IDNDHS199701","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1997","SEAR","IDN","IDNDHS199702","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1997","SEAR","IDN","IDNDHS199715","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1997","SEAR","IDN","IDNDHS199716","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1997","SEAR","IDN","IDNDHS199717","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1997","SEAR","IDN","IDNDHS199718","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2002","SEAR","IDN","IDNDHS200202","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2002","SEAR","IDN","IDNDHS200203","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2002","SEAR","IDN","IDNDHS200204","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2002","SEAR","IDN","IDNDHS200205","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2002","SEAR","IDN","IDNDHS200206","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2002","SEAR","IDN","IDNDHS200219","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2002","SEAR","IDN","IDNDHS200220","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2002","SEAR","IDN","IDNDHS200221","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2002","SEAR","IDN","IDNDHS200222","No data","","","","Not available."
