"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","RESIDENCEAREATYPE","WEALTHQUINTILE","Display Value","Numeric","Low","High","Comments"
"EQ_U5MORT","EQ_DHS","PUBLISHED","1994","AFR","CAF","URB","","134.0","134.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1994","AFR","CAF","RUR","","173.0","173.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1994","AFR","CAF","","WQ1","169.0","169.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1994","AFR","CAF","","WQ2","134.0","134.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1994","AFR","CAF","","WQ3","148.0","148.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1994","AFR","CAF","","WQ4","96.0","96.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1994","AFR","CAF","","WQ5","90.0","90.00000","","",""
"EQ_U5MORT","EQ_MICS","PUBLISHED","2006","AFR","CAF","","","175.5","175.50000","","",""
"EQ_U5MORT","EQ_MICS","PUBLISHED","2006","AFR","CAF","URB","","130.7","130.70000","","",""
"EQ_U5MORT","EQ_MICS","PUBLISHED","2006","AFR","CAF","RUR","","197.7","197.70000","","",""
"EQ_U5MORT","EQ_MICS","PUBLISHED","2006","AFR","CAF","","WQ1","210.2","210.20000","","",""
"EQ_U5MORT","EQ_MICS","PUBLISHED","2006","AFR","CAF","","WQ2","142.1","142.10000","","",""
"EQ_U5MORT","EQ_MICS","PUBLISHED","2006","AFR","CAF","","WQ3","126.2","126.20000","","",""
"EQ_U5MORT","EQ_MICS","PUBLISHED","2006","AFR","CAF","","WQ4","120.9","120.90000","","",""
"EQ_U5MORT","EQ_MICS","PUBLISHED","2006","AFR","CAF","","WQ5","82.7","82.70000","","",""
"EQ_U5MORT","EQ_MICS","PUBLISHED","2010","AFR","CAF","","","173.7","173.70000","","",""
"EQ_U5MORT","EQ_MICS","PUBLISHED","2010","AFR","CAF","URB","","141.4","141.40000","","",""
"EQ_U5MORT","EQ_MICS","PUBLISHED","2010","AFR","CAF","RUR","","192.9","192.90000","","",""
"EQ_U5MORT","EQ_MICS","PUBLISHED","2010","AFR","CAF","","WQ1","195.9","195.90000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2011","AFR","CMR","","WQ1","130.0","130.00000","","",""
"EQ_U5MORT","EQ_MICS","PUBLISHED","2010","AFR","CAF","","WQ2","162.0","162.00000","","",""
"EQ_U5MORT","EQ_MICS","PUBLISHED","2010","AFR","TCD","","WQ3","191.6","191.60000","","",""
"EQ_U5MORT","EQ_MICS","PUBLISHED","2010","AFR","TCD","","WQ4","173.5","173.50000","","",""
"EQ_U5MORT","EQ_MICS","PUBLISHED","2010","AFR","TCD","","WQ5","114.1","114.10000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1990","AMR","COL","","","23.0","23.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1990","AMR","COL","URB","","26.0","26.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1990","AMR","COL","RUR","","15.0","15.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1990","AMR","COL","","WQ1","50.0","50.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1990","AMR","COL","","WQ2","32.0","32.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1990","AMR","COL","","WQ3","24.0","24.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1990","AMR","COL","","WQ4","36.0","36.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1990","AMR","COL","","WQ5","26.0","26.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1995","AMR","COL","","","36.0","36.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1995","AMR","COL","URB","","33.0","33.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1995","AMR","COL","RUR","","41.0","41.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1995","AMR","COL","","WQ1","46.0","46.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1995","AMR","COL","","WQ2","31.0","31.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1995","AMR","COL","","WQ3","37.0","37.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1995","AMR","COL","","WQ4","30.0","30.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1995","AMR","COL","","WQ5","18.0","18.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2000","AMR","COL","","","25.0","25.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2000","AMR","COL","URB","","23.0","23.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2000","AMR","COL","RUR","","28.0","28.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2000","AMR","COL","","WQ1","34.0","34.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2000","AMR","COL","","WQ2","28.0","28.00000","","",""
"EQ_U5MORT","EQ_MICS","PUBLISHED","2010","AFR","CAF","","WQ3","156.1","156.10000","","",""
"EQ_U5MORT","EQ_MICS","PUBLISHED","2010","AFR","CAF","","WQ4","118.1","118.10000","","",""
"EQ_U5MORT","EQ_MICS","PUBLISHED","2010","AFR","CAF","","WQ5","113.2","113.20000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1996","AFR","TCD","","","194.0","194.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1996","AFR","TCD","URB","","198.0","198.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1996","AFR","TCD","RUR","","193.0","193.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1996","AFR","TCD","","WQ1","196.0","196.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1996","AFR","TCD","","WQ2","222.0","222.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1996","AFR","TCD","","WQ3","190.0","190.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1996","AFR","TCD","","WQ4","193.0","193.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1996","AFR","TCD","","WQ5","143.0","143.00000","","",""
