"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","ARCHIVE","Display Value","Numeric","Low","High","Comments"
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AMR","KNA","","7.7 [7.2-8.2]","7.70000","7.20000","8.20000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EUR","MKD","","3.9 [3.7-4.1]","3.90000","3.70000","4.10000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","WPR","AUS","","10.4 [9.8-11.0]","10.40000","9.80000","11.00000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AFR","CAN","","8.2 [7.7-8.7]","8.20000","7.70000","8.70000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EUR","CZE","","11.8 [11.1-12.5]","11.80000","11.10000","12.50000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EUR","GRC","","8.3 [7.8-8.8]","8.30000","7.80000","8.80000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EMR","KWT","","0.0 [0.0-0.0]","0.00000","0.00000","0.00000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EUR","SMR","","","","","","missing data"
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EUR","CHE","","10.2 [9.6-10.8]","10.20000","9.60000","10.80000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","WPR","NRU","","1.0 [0.9-1.1]","1.00000","0.90000","1.10000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EUR","ESP","","10.0 [9.4-10.6]","10.00000","9.40000","10.60000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EUR","EST","","15.7 [15.3-16.3]","15.70000","15.30000","16.30000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AFR","BDI","","6.3 [5.9-6.7]","6.30000","5.90000","6.70000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","WPR","KHM","","2.2 [2.1-2.3]","2.20000","2.10000","2.30000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AFR","ETH","","0.7 [0.7-0.7]","0.70000","0.70000","0.70000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AFR","GHA","","1.8 [1.7-1.9]","1.80000","1.70000","1.90000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AFR","TGO","","1.3 [1.2-1.4]","1.30000","1.20000","1.40000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AFR","TZA","","5.7 [5.3-6.1]","5.70000","5.30000","6.10000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","WPR","VNM","","2.0 [1.9-2.1]","2.00000","1.90000","2.10000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AFR","AGO","","5.9 [5.5-6.3]","5.90000","5.50000","6.30000",""
