"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","AGEGROUP","RESIDENCEAREATYPE","WEALTHQUINTILE","Display Value","Numeric","Low","High","Comments"
"EQ_WATERPIPED","PUBLISHED","2004","AFR","LSO","YEARS0-5","","","80.9","0.80858","","",""
"EQ_WATERPIPED","PUBLISHED","2009","AFR","LSO","YEARS0-5","","","75.4","0.75427","","",""
"EQ_WATERPIPED","PUBLISHED","1990","EMR","PAK","YEARS0-5","","","74.6","0.74640","","",""
"EQ_WATERPIPED","PUBLISHED","1996","AFR","BEN","YEARS6-11","","","72.9","0.72945","","",""
"EQ_WATERPIPED","PUBLISHED","2001","AFR","BEN","YEARS6-11","","","85.2","0.85159","","",""
"EQ_WATERPIPED","PUBLISHED","2006","AFR","BEN","YEARS6-11","","","77.9","0.77857","","",""
"EQ_WATERPIPED","PUBLISHED","1996","AMR","BRA","YEARS6-11","","","86.5","0.86471","","",""
"EQ_WATERPIPED","PUBLISHED","2000","EMR","EGY","YEARS6-11","","","99.2","0.99162","","",""
"EQ_WATERPIPED","PUBLISHED","2005","EMR","EGY","YEARS6-11","","","99.2","0.99185","","",""
"EQ_WATERPIPED","PUBLISHED","2000","AFR","GAB","YEARS6-11","","","93.8","0.93837","","",""
"EQ_WATERPIPED","PUBLISHED","1993","AFR","GHA","YEARS6-11","","","78.5","0.78462","","",""
"EQ_WATERPIPED","PUBLISHED","1998","AFR","KEN","YEARS6-11","","","83.7","0.83666","","",""
"EQ_WATERPIPED","PUBLISHED","2003","AFR","KEN","YEARS6-11","","","68.1","0.68095","","",""
"EQ_WATERPIPED","PUBLISHED","2008","AFR","KEN","YEARS6-11","","","73.2","0.73224","","",""
"EQ_WATERPIPED","PUBLISHED","1997","AFR","MDG","YEARS6-11","","","71.7","0.71684","","",""
"EQ_WATERPIPED","PUBLISHED","2003","AFR","NGA","YEARS6-11","","","31.3","0.31345","","",""
"EQ_WATERPIPED","PUBLISHED","1990","EMR","PAK","YEARS6-11","","","84.1","0.84084","","",""
"EQ_WATERPIPED","PUBLISHED","1993","WPR","PHL","YEARS6-11","","","51.4","0.51354","","",""
"EQ_WATERPIPED","PUBLISHED","1997","WPR","VNM","YEARS6-11","","","68.2","0.68227","","",""
"EQ_WATERPIPED","PUBLISHED","2002","WPR","VNM","YEARS6-11","","","72.4","0.72422","","",""
"EQ_WATERPIPED","PUBLISHED","2005","AFR","ZWE","YEARS6-11","","","96.9","0.96886","","",""
"EQ_WATERPIPED","PUBLISHED","2000","EUR","ARM","","RUR","","82.1","0.82121","","",""
"EQ_WATERPIPED","PUBLISHED","2004","AFR","TCD","","RUR","","2.6","0.02578","","",""
