"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","AGEGROUP","ENVCAUSE","Display Value","Numeric","Low","High","Comments"
"TOTENV_6","PUBLISHED","2012","EUR","POL","","ENVCAUSE000","15","0.15000","","",""
"TOTENV_6","PUBLISHED","2012","AMR","VEN","","ENVCAUSE000","18","0.18000","","",""
"TOTENV_6","PUBLISHED","2012","AFR","COG","","ENVCAUSE000","25","0.25000","","",""
"TOTENV_6","PUBLISHED","2012","AFR","COM","","ENVCAUSE000","25","0.25000","","",""
"TOTENV_6","PUBLISHED","2012","AMR","DMA","","ENVCAUSE000","15","0.15000","","",""
"TOTENV_6","PUBLISHED","2012","AFR","ERI","","ENVCAUSE000","23","0.23000","","",""
"TOTENV_6","PUBLISHED","2012","EUR","GEO","","ENVCAUSE000","21","0.21000","","",""
"TOTENV_6","PUBLISHED","2012","EMR","IRQ","","ENVCAUSE000","18","0.18000","","",""
"TOTENV_6","PUBLISHED","2012","AFR","KEN","","ENVCAUSE000","22","0.22000","","",""
"TOTENV_6","PUBLISHED","2012","EMR","KWT","","ENVCAUSE000","16","0.16000","","",""
"TOTENV_6","PUBLISHED","2012","EMR","LBN","","ENVCAUSE000","16","0.16000","","",""
"TOTENV_6","PUBLISHED","2012","AFR","LBR","","ENVCAUSE000","25","0.25000","","",""
"TOTENV_6","PUBLISHED","2012","EUR","LTU","","ENVCAUSE000","15","0.15000","","",""
"TOTENV_6","PUBLISHED","2012","WPR","NRU","","ENVCAUSE000","14","0.14000","","",""
"TOTENV_6","PUBLISHED","2012","EUR","ROU","","ENVCAUSE000","18","0.18000","","",""
"TOTENV_6","PUBLISHED","2012","EUR","RUS","","ENVCAUSE000","16","0.16000","","",""
"TOTENV_6","PUBLISHED","2012","AFR","RWA","","ENVCAUSE000","24","0.24000","","",""
"TOTENV_6","PUBLISHED","2012","AMR","SLV","","ENVCAUSE000","17","0.17000","","",""
"TOTENV_6","PUBLISHED","2012","AFR","ZMB","","ENVCAUSE000","23","0.23000","","",""
"TOTENV_6","PUBLISHED","2012","AFR","ZWE","","ENVCAUSE000","19","0.19000","","",""
"TOTENV_6","PUBLISHED","2012","AMR","URY","","ENVCAUSE000","12","0.12000","","",""
"TOTENV_6","PUBLISHED","2012","WPR","WSM","","ENVCAUSE000","17","0.17000","","",""
"TOTENV_6","PUBLISHED","2012","OECD_NON_AFR","","YEARSALL","ENVCAUSE000","24","24.00000","","",""
"TOTENV_6","PUBLISHED","2012","GLOBAL","","YEARSALL","ENVCAUSE000","22","22.00000","","",""
"TOTENV_6","PUBLISHED","2012","OECD_HII_EUR","","YEARSALL","ENVCAUSE000","13","13.00000","","",""
"TOTENV_6","PUBLISHED","2012","GLOBAL","","YEARS0-4","ENVCAUSE000","25","25.00000","","",""
"TOTENV_6","PUBLISHED","2012","OECD_NON_SEAR","","YEARSALL","ENVCAUSE000","24","24.00000","","",""
"TOTENV_6","PUBLISHED","2012","OECD_NON_EUR","","YEARSALL","ENVCAUSE000","17","17.00000","","",""
"TOTENV_6","PUBLISHED","2012","OECD_HII_WPR","","YEARSALL","ENVCAUSE000","13","13.00000","","",""
"TOTENV_6","PUBLISHED","2012","OECD_NON_WPR","","YEARSALL","ENVCAUSE000","25","25.00000","","",""
"TOTENV_6","PUBLISHED","2012","OECD_NON_AMR","","YEARSALL","ENVCAUSE000","16","16.00000","","",""
"TOTENV_6","PUBLISHED","2012","OECD_HII_AMR","","YEARSALL","ENVCAUSE000","12","12.00000","","",""
"TOTENV_6","PUBLISHED","2012","OECD_NON_EMR","","YEARSALL","ENVCAUSE000","21","21.00000","","",""
