"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","PRICEMEASURETYPE","Display Value","Numeric","Low","High","Comments"
"SA_0000001730_ARCHIVED","PUBLISHED","2012","WPR","MYS","SA_ANY_PRICE_MEASURES_EXCLUDING_TAXATION","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","AFR","MUS","SA_VOLUME_DISCOUNTS_BAN","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","AFR","MOZ","SA_BELOW_COST_SELLING_BAN","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","SEAR","MMR","SA_BELOW_COST_SELLING_BAN","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","WPR","NZL","SA_VOLUME_DISCOUNTS_BAN","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","AMR","KNA","SA_ANY_PRICE_MEASURES_EXCLUDING_TAXATION","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","AMR","KNA","SA_BELOW_COST_SELLING_BAN","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","AMR","LCA","SA_MINIMUM_PRICE_POLICY","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","AMR","LCA","SA_BELOW_COST_SELLING_BAN","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","AMR","VCT","SA_LOWER_PRICE_NON_ALCOHOLIC_BEVERAGES","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","EUR","SMR","SA_MINIMUM_PRICE_POLICY","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","EUR","SRB","SA_BELOW_COST_SELLING_BAN","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","AFR","SYC","SA_VOLUME_DISCOUNTS_BAN","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","WPR","SGP","SA_MINIMUM_PRICE_POLICY","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","AFR","ZAF","SA_VOLUME_DISCOUNTS_BAN","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","AMR","SUR","SA_BELOW_COST_SELLING_BAN","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","EMR","SYR","SA_LOWER_PRICE_NON_ALCOHOLIC_BEVERAGES","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","SEAR","THA","SA_MINIMUM_PRICE_POLICY","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","SEAR","THA","SA_LOWER_PRICE_NON_ALCOHOLIC_BEVERAGES","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","SEAR","TLS","SA_ANY_PRICE_MEASURES_EXCLUDING_TAXATION","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","SEAR","TLS","SA_LOWER_PRICE_NON_ALCOHOLIC_BEVERAGES","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","SEAR","TLS","SA_BELOW_COST_SELLING_BAN","No","","","",""
