"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","WEALTHDECILE","Display Value","Numeric","Low","High","Comments"
"bmi30wm","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","AGOMICS199607","","No data","","","","Not available."
"bmi30wm","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","AGOMICS199608","","No data","","","","Not available."
"bmi30wm","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","AGOMICS199609","","No data","","","","Not available."
"bmi30wm","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","AGOMICS199610","","No data","","","","Not available."
"bmi30wm","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","AGOMICS199611","","No data","","","","Not available."
"bmi30wm","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","AGOMICS199612","","No data","","","","Not available."
"bmi30wm","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","AGOMICS199613","","No data","","","","Not available."
"bmi30wm","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","AGOMICS199614","","No data","","","","Not available."
"bmi30wm","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","AGOMICS199615","","No data","","","","Not available."
"bmi30wm","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","AGOMICS199616","","No data","","","","Not available."
"bmi30wm","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","AGOMICS199617","","No data","","","","Not available."
"bmi30wm","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","AGOMICS199618","","No data","","","","Not available."
"bmi30wm","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","AGODHS201501","","No data","","","","Not available."
"bmi30wm","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","AGODHS201502","","No data","","","","Not available."
"bmi30wm","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","AGODHS201503","","No data","","","","Not available."
"bmi30wm","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","AGODHS201504","","No data","","","","Not available."
