"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","RESIDENCEAREATYPE","Display Value","Numeric","Low","High","Comments"
"FINPROTECTION_IMP_PG_190","FPBIH2007","PUBLISHED","2007","EUR","BIH","URB","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPBIH2007","PUBLISHED","2007","EUR","BIH","RUR","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPBIH2011","PUBLISHED","2011","EUR","BIH","TOTL","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPBIH2011","PUBLISHED","2011","EUR","BIH","URB","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPBIH2011","PUBLISHED","2011","EUR","BIH","RUR","0.01","0.01000","","",""
"FINPROTECTION_IMP_PG_190","FPBIH2015","PUBLISHED","2015","EUR","BIH","TOTL","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPBIH2015","PUBLISHED","2015","EUR","BIH","URB","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPBIH2015","PUBLISHED","2015","EUR","BIH","RUR","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPBLR1998","PUBLISHED","1998","EUR","BLR","TOTL","0.04","0.04000","","",""
"FINPROTECTION_IMP_PG_190","FPBLR1998","PUBLISHED","1998","EUR","BLR","URB","0.04","0.04000","","",""
"FINPROTECTION_IMP_PG_190","FPBLR1998","PUBLISHED","1998","EUR","BLR","RUR","0.02","0.02000","","",""
"FINPROTECTION_IMP_PG_190","FPBLR1999","PUBLISHED","1999","EUR","BLR","TOTL","0.03","0.03000","","",""
"FINPROTECTION_IMP_PG_190","FPBLR1999","PUBLISHED","1999","EUR","BLR","URB","0.04","0.04000","","",""
"FINPROTECTION_IMP_PG_190","FPBLR1999","PUBLISHED","1999","EUR","BLR","RUR","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPBLR2000","PUBLISHED","2000","EUR","BLR","TOTL","0.01","0.01000","","",""
"FINPROTECTION_IMP_PG_190","FPBLR2000","PUBLISHED","2000","EUR","BLR","URB","0.02","0.02000","","",""
"FINPROTECTION_IMP_PG_190","FPBLR2000","PUBLISHED","2000","EUR","BLR","RUR","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPBLR2001","PUBLISHED","2001","EUR","BLR","TOTL","0.01","0.01000","","",""
"FINPROTECTION_IMP_PG_190","FPBLR2001","PUBLISHED","2001","EUR","BLR","URB","0.02","0.02000","","",""
"FINPROTECTION_IMP_PG_190","FPBLR2001","PUBLISHED","2001","EUR","BLR","RUR","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPBLR2002","PUBLISHED","2002","EUR","BLR","TOTL","0.05","0.05000","","",""
"FINPROTECTION_IMP_PG_190","FPBLR2002","PUBLISHED","2002","EUR","BLR","URB","0.02","0.02000","","",""
"FINPROTECTION_IMP_PG_190","FPBLR2002","PUBLISHED","2002","EUR","BLR","RUR","0.12","0.12000","","",""
"FINPROTECTION_IMP_PG_190","FPBLR2003","PUBLISHED","2003","EUR","BLR","TOTL","0.03","0.03000","","",""
"FINPROTECTION_IMP_PG_190","FPBLR2003","PUBLISHED","2003","EUR","BLR","URB","0.01","0.01000","","",""
"FINPROTECTION_IMP_PG_190","FPBLR2003","PUBLISHED","2003","EUR","BLR","RUR","0.08","0.08000","","",""
"FINPROTECTION_IMP_PG_190","FPBLR2004","PUBLISHED","2004","EUR","BLR","TOTL","0.01","0.01000","","",""
"FINPROTECTION_IMP_PG_190","FPBLR2004","PUBLISHED","2004","EUR","BLR","URB","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPBLR2004","PUBLISHED","2004","EUR","BLR","RUR","0.02","0.02000","","",""
"FINPROTECTION_IMP_PG_190","FPBLR2005","PUBLISHED","2005","EUR","BLR","TOTL","0.01","0.01000","","",""
"FINPROTECTION_IMP_PG_190","FPBLR2005","PUBLISHED","2005","EUR","BLR","URB","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPBLR2005","PUBLISHED","2005","EUR","BLR","RUR","0.03","0.03000","","",""
"FINPROTECTION_IMP_PG_190","FPBLR2006","PUBLISHED","2006","EUR","BLR","TOTL","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPBLR2006","PUBLISHED","2006","EUR","BLR","URB","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPBLR2006","PUBLISHED","2006","EUR","BLR","RUR","0.01","0.01000","","",""
"FINPROTECTION_IMP_PG_190","FPBLR2007","PUBLISHED","2007","EUR","BLR","TOTL","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPBLR2007","PUBLISHED","2007","EUR","BLR","URB","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPBLR2007","PUBLISHED","2007","EUR","BLR","RUR","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPBLR2008","PUBLISHED","2008","EUR","BLR","TOTL","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPBLR2008","PUBLISHED","2008","EUR","BLR","URB","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPBLR2008","PUBLISHED","2008","EUR","BLR","RUR","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPBLR2009","PUBLISHED","2009","EUR","BLR","TOTL","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPBLR2009","PUBLISHED","2009","EUR","BLR","URB","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPBLR2009","PUBLISHED","2009","EUR","BLR","RUR","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPBLR2010","PUBLISHED","2010","EUR","BLR","TOTL","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPBLR2010","PUBLISHED","2010","EUR","BLR","URB","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPBLR2010","PUBLISHED","2010","EUR","BLR","RUR","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPBLR2011","PUBLISHED","2011","EUR","BLR","TOTL","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPBLR2011","PUBLISHED","2011","EUR","BLR","URB","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPBLR2011","PUBLISHED","2011","EUR","BLR","RUR","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPBLR2012","PUBLISHED","2012","EUR","BLR","TOTL","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPBLR2012","PUBLISHED","2012","EUR","BLR","URB","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPBLR2012","PUBLISHED","2012","EUR","BLR","RUR","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPBLR2013","PUBLISHED","2013","EUR","BLR","TOTL","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPBLR2013","PUBLISHED","2013","EUR","BLR","URB","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPBLR2013","PUBLISHED","2013","EUR","BLR","RUR","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPBLR2014","PUBLISHED","2014","EUR","BLR","TOTL","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPBLR2014","PUBLISHED","2014","EUR","BLR","URB","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPBLR2014","PUBLISHED","2014","EUR","BLR","RUR","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPBLR2015","PUBLISHED","2015","EUR","BLR","TOTL","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPBLR2015","PUBLISHED","2015","EUR","BLR","URB","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPBLR2015","PUBLISHED","2015","EUR","BLR","RUR","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPBLR2016","PUBLISHED","2016","EUR","BLR","TOTL","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPBLR2016","PUBLISHED","2016","EUR","BLR","URB","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPBLR2016","PUBLISHED","2016","EUR","BLR","RUR","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPBOL1999","PUBLISHED","1999","AMR","BOL","TOTL","4.04","4.04000","","",""
"FINPROTECTION_IMP_PG_190","FPBOL1999","PUBLISHED","1999","AMR","BOL","URB","2.78","2.78000","","",""
