"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","ALCOHOLTYPE","Display Value","Numeric","Low","High","Comments"
"SA_0000001547","","PUBLISHED","2008","EUR","AUT","SA_WINE","0","0.00000","","",""
"SA_0000001547","","PUBLISHED","2008","EUR","BEL","SA_BEER","21.4","21.40000","","",""
"SA_0000001547","","PUBLISHED","2008","EUR","BEL","SA_WINE","47.1","47.10000","","",""
"SA_0000001547","","PUBLISHED","2009","EUR","BGR","SA_BEER","9.2","9.20000","","",""
"SA_0000001547","","PUBLISHED","2009","EUR","BGR","SA_WINE","0","0.00000","","",""
"SA_0000001547","","PUBLISHED","2008","EUR","CYP","SA_BEER","24","24.00000","","",""
"SA_0000001547","","PUBLISHED","2009","EUR","CYP","SA_BEER","22.9","22.90000","","",""
"SA_0000001547","","PUBLISHED","2008","EUR","CZE","SA_SPIRITS","1061","1061.00000","","",""
"SA_0000001547","","PUBLISHED","2009","EUR","CZE","SA_BEER","11.7","11.70000","","",""
"SA_0000001547","","PUBLISHED","2009","EUR","DNK","SA_SPIRITS","2014.8","2014.80000","","",""
"SA_0000001547","","PUBLISHED","2010","EUR","DNK","SA_BEER","32.8","32.80000","","",""
"SA_0000001547","","PUBLISHED","2011","EUR","EST","SA_SPIRITS","1490","1490.00000","","",""
"SA_0000001547","","PUBLISHED","2011","EUR","FIN","SA_WINE","312","312.00000","","",""
"SA_0000001547","","PUBLISHED","2011","EUR","FIN","SA_SPIRITS","4340","4340.00000","","",""
"SA_0000001547","","PUBLISHED","2012","EUR","FRA","SA_WINE","3.66","3.66000","","",""
"SA_0000001547","","PUBLISHED","2012","EUR","FRA","SA_SPIRITS","1660","1660.00000","","",""
"SA_0000001547","","PUBLISHED","2012","EUR","DEU","SA_WINE","0","0.00000","","",""
"SA_0000001547","","PUBLISHED","2008","EUR","GRC","SA_WINE","0","0.00000","","",""
"SA_0000001547","","PUBLISHED","2008","EUR","HUN","SA_BEER","26.8","26.80000","","",""
"SA_0000001547","","PUBLISHED","2008","EUR","HUN","SA_WINE","0","0.00000","","",""
"SA_0000001547","","PUBLISHED","2008","EUR","IRL","SA_BEER","99.4","99.40000","","",""
"SA_0000001547","","PUBLISHED","2008","EUR","IRL","SA_WINE","328.1","328.10000","","",""
"SA_0000001547","","PUBLISHED","2008","EUR","ITA","SA_BEER","29.4","29.40000","","",""
"SA_0000001547","","PUBLISHED","2009","EUR","ITA","SA_BEER","28.2","28.20000","","",""
"SA_0000001547","","PUBLISHED","2008","EUR","LVA","SA_SPIRITS","1163.5","1163.50000","","",""
"SA_0000001547","","PUBLISHED","2009","EUR","LVA","SA_BEER","9.8","9.80000","","",""
"SA_0000001547","","PUBLISHED","2009","EUR","LTU","SA_SPIRITS","1278.96","1278.96000","","",""
"SA_0000001547","","PUBLISHED","2010","EUR","LTU","SA_BEER","11.8","11.80000","","",""
"SA_0000001547","","PUBLISHED","2009","EUR","LUX","SA_SPIRITS","1041.15","1041.15000","","",""
"SA_0000001547","","PUBLISHED","2010","EUR","MLT","SA_WINE","0","0.00000","","",""
"SA_0000001547","","PUBLISHED","2010","EUR","MLT","SA_SPIRITS","1400","1400.00000","","",""
"SA_0000001547","","PUBLISHED","2010","EUR","NLD","SA_WINE","70.56","70.56000","","",""
"SA_0000001547","","PUBLISHED","2011","EUR","POL","SA_WINE","6.06","6.06000","","",""
"SA_0000001547","","PUBLISHED","2012","EUR","PRT","SA_BEER","18.43","18.43000","","",""
"SA_0000001547","","PUBLISHED","2012","EUR","PRT","SA_WINE","0","0.00000","","",""
"SA_0000001547","","PUBLISHED","2012","EUR","ROU","SA_BEER","8.98","8.98000","","",""
"SA_0000001547","","PUBLISHED","2011","EUR","SVK","SA_SPIRITS","1080","1080.00000","","",""
"SA_0000001547","","PUBLISHED","2012","EUR","SVK","SA_BEER","17.22","17.22000","","",""
"SA_0000001547","","PUBLISHED","2012","EUR","SVN","SA_SPIRITS","1200","1200.00000","","",""
"SA_0000001547","","PUBLISHED","2008","EUR","ESP","SA_BEER","10","10.00000","","",""
"SA_0000001547","","PUBLISHED","2012","EUR","ESP","SA_SPIRITS","830.25","830.25000","","",""
"SA_0000001547","","PUBLISHED","2008","EUR","SWE","SA_SPIRITS","5154.9","5154.90000","","",""
"SA_0000001547","","PUBLISHED","2009","EUR","SWE","SA_BEER","81.9","81.90000","","",""
"SA_0000001547","","PUBLISHED","2008","EUR","CHE","SA_WINE","0","0.00000","","",""
"SA_0000001547","","PUBLISHED","2011","EUR","GBR","SA_WINE","294.78","294.78000","","",""
"SA_0000001547","","PUBLISHED","2011","EUR","GBR","SA_SPIRITS","3118.89","3118.89000","","",""
"SA_0000001547","","PUBLISHED","2008","EUR","BEL","SA_SPIRITS","1752.2","1752.20000","","",""
