"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","Display Value","Numeric","Low","High","Comments"
"WHS7_104","NHA_BLZ","PUBLISHED","2004","AMR","WB_UMI","BLZ","96.07","96.06504","","",""
"WHS7_104","NHA_BLZ","PUBLISHED","2007","AMR","WB_UMI","BLZ","130.71","130.70993","","",""
"WHS7_104","NHA_BOL","PUBLISHED","2001","AMR","WB_LMI","BOL","35.88","35.87788","","",""
"WHS7_104","NHA_BOL","PUBLISHED","2004","AMR","WB_LMI","BOL","34.66","34.66436","","",""
"WHS7_104","","PUBLISHED","1998","AMR","WB_UMI","BRA","142.19","142.18857","","",""
"WHS7_104","","PUBLISHED","2001","AMR","WB_UMI","BRA","95.48","95.48383","","",""
"WHS7_104","","PUBLISHED","1995","AMR","WB_HI","BRB","304.06","304.06247","","",""
"WHS7_104","","PUBLISHED","1996","AMR","WB_HI","BRB","315.73","315.72723","","",""
"WHS7_104","","PUBLISHED","2012","AMR","WB_HI","BRB","741.58","741.58134","","",""
"WHS7_104","","PUBLISHED","2013","AMR","WB_HI","BRB","742.52","742.52122","","",""
"WHS7_104","NHA_BRN","PUBLISHED","2010","WPR","WB_HI","BRN","792.61","792.60772","","",""
"WHS7_104","NHA_BTN","PUBLISHED","2004","SEAR","WB_LMI","BTN","35.38","35.38481","","",""
"WHS7_104","NHA_BTN","PUBLISHED","2007","SEAR","WB_LMI","BTN","89.84","89.84479","","",""
"WHS7_104","","PUBLISHED","2001","AFR","WB_UMI","BWA","129.15","129.14756","","",""
"WHS7_104","","PUBLISHED","2004","AFR","WB_UMI","BWA","189.72","189.71632","","",""
"WHS7_104","NHA_CAF","PUBLISHED","1998","AFR","WB_LI","CAF","3.83","3.83227","","",""
"WHS7_104","NHA_CAF","PUBLISHED","1999","AFR","WB_LI","CAF","5.12","5.12067","","",""
"WHS7_104","NHA_CAF","PUBLISHED","2001","AFR","WB_LI","CAF","4.58","4.57703","","",""
"WHS7_104","","PUBLISHED","1995","AMR","WB_HI","CAN","1304.22","1304.21759","","",""
"WHS7_104","","PUBLISHED","1996","AMR","WB_HI","CAN","1301.41","1301.41223","","",""
"WHS7_104","","PUBLISHED","1998","AMR","WB_HI","CAN","1309.83","1309.82726","","",""
"WHS7_104","","PUBLISHED","2013","AMR","WB_HI","CAN","3991.55","3991.54687","","",""
"WHS7_104","","PUBLISHED","2010","EUR","WB_HI","CHE","5005.43","5005.42758","","",""
"WHS7_104","","PUBLISHED","2005","AMR","WB_HI","CHL","192.89","192.89204","","",""
"WHS7_104","","PUBLISHED","2007","AMR","WB_HI","CHL","278.31","278.31321","","",""
"WHS7_104","NHA_CHN","PUBLISHED","2001","WPR","WB_UMI","CHN","16.91","16.91167","","",""
"WHS7_104","NHA_CHN","PUBLISHED","2002","WPR","WB_UMI","CHN","19.52","19.51729","","",""
"WHS7_104","NHA_CHN","PUBLISHED","2004","WPR","WB_UMI","CHN","26.82","26.81701","","",""
"WHS7_104","NHA_CHN","PUBLISHED","2005","WPR","WB_UMI","CHN","31.38","31.37943","","",""
"WHS7_104","","PUBLISHED","1998","AFR","WB_LMI","CIV","15.15","15.14563","","",""
"WHS7_104","","PUBLISHED","1999","AFR","WB_LMI","CIV","13.80","13.80225","","",""
"WHS7_104","","PUBLISHED","2000","AFR","WB_LMI","CIV","11.60","11.60097","","",""
"WHS7_104","","PUBLISHED","2001","AFR","WB_LMI","CIV","8.56","8.56268","","",""
"WHS7_104","NHA_CMR","PUBLISHED","1996","AFR","WB_LMI","CMR","5.96","5.95721","","",""
"WHS7_104","NHA_CMR","PUBLISHED","1998","AFR","WB_LMI","CMR","5.10","5.10382","","",""
"WHS7_104","NHA_CMR","PUBLISHED","2013","AFR","WB_LMI","CMR","13.48","13.47800","","",""
"WHS7_104","NHA_COD","PUBLISHED","2008","AFR","WB_LI","COD","6.52","6.52496","","",""
"WHS7_104","NHA_COD","PUBLISHED","2010","AFR","WB_LI","COD","3.31","3.30731","","",""
"WHS7_104","","PUBLISHED","2005","AFR","WB_LMI","COG","24.93","24.92792","","",""
"WHS7_104","","PUBLISHED","2007","AFR","WB_LMI","COG","34.92","34.92298","","",""
"WHS7_104","","PUBLISHED","2008","AFR","WB_LMI","COG","38.32","38.32343","","",""
"WHS7_104","NHA_COK","PUBLISHED","2002","WPR","WB_HI","COK","201.31","201.31164","","",""
"WHS7_104","NHA_COK","PUBLISHED","2004","WPR","WB_HI","COK","344.55","344.55231","","",""
"WHS7_104","NHA_COK","PUBLISHED","2005","WPR","WB_HI","COK","413.84","413.83740","","",""
