"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","ALCOHOLTYPE","Display Value","Numeric","Low","High","Comments"
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EMR","WB_HI","KWT","SA_WINE","","","","","missing data"
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AFR","WB_LI","ETH","SA_BEER","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AFR","WB_LI","ETH","SA_SPIRITS","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AFR","WB_LI","GIN","SA_WINE","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AFR","WB_LI","KEN","SA_BEER","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","SEAR","WB_LI","NPL","SA_WINE","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AFR","WB_LI","NER","SA_BEER","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AFR","WB_LI","RWA","SA_WINE","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AFR","WB_LI","SEN","SA_BEER","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EUR","WB_LI","UZB","SA_WINE","20","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AFR","WB_LI","CAF","SA_SPIRITS","21","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EMR","WB_LI","AFG","SA_WINE","","","","","missing data"
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AFR","WB_LI","MLI","SA_SPIRITS","No","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AFR","WB_LI","SLE","SA_WINE","No","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AMR","WB_LMI","NIC","SA_SPIRITS","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AFR","WB_LMI","NGA","SA_WINE","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","WPR","WB_LMI","PHL","SA_SPIRITS","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EUR","WB_LMI","MDA","SA_WINE","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","WPR","WB_LMI","FSM","SA_WINE","21","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","WPR","WB_LMI","MNG","SA_BEER","21","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EMR","WB_LMI","PAK","SA_SPIRITS","21","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","SEAR","WB_LMI","LKA","SA_WINE","21","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","SEAR","WB_LMI","IND","SA_WINE","","","","","missing data"
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EMR","WB_LMI","IRN","SA_BEER","","","","","missing data"
"SA_0000001518_ARCHIVED","PUBLISHED","2012","WPR","WB_LMI","VUT","SA_SPIRITS","","","","","missing data"
"SA_0000001518_ARCHIVED","PUBLISHED","2012","SEAR","WB_LMI","TLS","SA_BEER","No","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","SEAR","WB_LMI","TLS","SA_SPIRITS","No","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AMR","WB_UMI","GRD","SA_WINE","16","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AMR","WB_UMI","VCT","SA_SPIRITS","16","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AMR","WB_UMI","BRA","SA_BEER","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AMR","WB_UMI","BRA","SA_SPIRITS","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AMR","WB_UMI","COL","SA_BEER","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AMR","WB_UMI","COL","SA_SPIRITS","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EUR","WB_UMI","LVA","SA_WINE","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EUR","WB_UMI","LTU","SA_BEER","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AFR","WB_UMI","MUS","SA_WINE","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AMR","WB_UMI","MEX","SA_BEER","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EUR","WB_UMI","RUS","SA_SPIRITS","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AMR","WB_UMI","KNA","SA_WINE","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","LUX","SA_BEER","16","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","PRT","SA_SPIRITS","16","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","CHE","SA_BEER","16","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","WPR","WB_HI","AUS","SA_BEER","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AMR","WB_HI","BRB","SA_WINE","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","CZE","SA_SPIRITS","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","FIN","SA_BEER","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","GRC","SA_BEER","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","ISR","SA_SPIRITS","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","WPR","WB_HI","NZL","SA_SPIRITS","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","SVK","SA_WINE","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","SVN","SA_SPIRITS","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AMR","WB_HI","TTO","SA_SPIRITS","18","","","",""
