"GHO","PUBLISHSTATE","YEAR","REGION","UNREGION","WORLDBANKINCOMEGROUP","UNSDGREGION","Display Value","Numeric","Low","High","Comments"
"NUTWASTINGPREV","PUBLISHED","2015","EMR","","","","7.8 [6.3-9.7]","7.80000","6.30000","9.70000",""
"NUTWASTINGPREV","PUBLISHED","2015","SEAR","","","","15 [11.6-19.2]","15.00000","11.60000","19.20000",""
"NUTWASTINGPREV","PUBLISHED","2015","AMR","","","","1 [0.6-1.6]","1.00000","0.60000","1.60000",""
"NUTWASTINGPREV","PUBLISHED","2015","WPR","","","","2.4 [1.6-3.5]","2.40000","1.60000","3.50000",""
"NUTWASTINGPREV","PUBLISHED","2015","","","WB_LIMI","","7.7 [5.4-10]","7.70000","5.40000","10.00000",""
"NUTWASTINGPREV","PUBLISHED","2015","","","WB_HI","","0.6 [0.3-1.2]","0.60000","0.30000","1.20000","Consecutive Low Population Coverage"
"NUTWASTINGPREV","PUBLISHED","2015","","","WB_MI","","7.8 [5-10.6]","7.80000","5.00000","10.60000",""
"NUTWASTINGPREV","PUBLISHED","2015","","","WB_LMI","","11.3 [7.5-16.6]","11.30000","7.50000","16.60000",""
"NUTWASTINGPREV","PUBLISHED","2015","","","WB_UMI","","2.1 [1.7-2.5]","2.10000","1.70000","2.50000",""
"NUTWASTINGPREV","PUBLISHED","2015","","","WB_LI","","7.2 [5.9-8.8]","7.20000","5.90000","8.80000",""
"NUTWASTINGPREV","PUBLISHED","2015","","","","UNSDG_OCEANIAexAUSNZL","8.9 [5.9-13.1]","8.90000","5.90000","13.10000",""
"NUTWASTINGPREV","PUBLISHED","2015","","","","UNSDG_NORTHERNAMR","0.4","0.40000","","","regional average is based only on United States data, hence confidence intervals are not provided"
