"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"SA_0000001784_ARCHIVED","SA_0000001784_UKR","PUBLISHED","2005","EUR","UKR","MLE","59.0","59.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_BGR","PUBLISHED","2010","EUR","BGR","FMLE","","","","","missing data"
"SA_0000001784_ARCHIVED","SA_0000001784_PRT","PUBLISHED","2010","EUR","PRT","FMLE","6.0","6.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_IRL","PUBLISHED","2010","EUR","IRL","FMLE","9.0","9.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_RUS","PUBLISHED","2010","EUR","RUS","FMLE","9.0","9.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_RUS","PUBLISHED","2010","EUR","RUS","MLE","13.0","13.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_USA","PUBLISHED","2005","AMR","USA","MLE","14.0","14.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_ISL","PUBLISHED","2005","EUR","ISL","MLE","15.0","15.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_MKD","PUBLISHED","2005","EUR","MKD","FMLE","15.0","15.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_CAN","PUBLISHED","2005","AMR","CAN","FMLE","16.0","16.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_ISR","PUBLISHED","2005","EUR","ISR","MLE","22.0","22.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_ESP","PUBLISHED","2010","EUR","ESP","MLE","23.0","23.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_LVA","PUBLISHED","2005","EUR","LVA","FMLE","24.0","24.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_LTU","PUBLISHED","2010","EUR","LTU","MLE","25.0","25.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_MKD","PUBLISHED","2005","EUR","MKD","MLE","28.0","28.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_BEL","PUBLISHED","2010","EUR","BEL","MLE","29.5","29.50000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_GBR","PUBLISHED","2010","EUR","GBR","MLE","31.7","31.70000","","",""
