"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","SEX","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","Display Value","Numeric","Low","High","Comments"
"wast3","EQ_DHS","PUBLISHED","2005","AFR","SEN","","","","WQ5","","6.7 [3.1-13.8]","6.67380","3.10403","13.76570",""
"wast3","EQ_DHS","PUBLISHED","2014","AFR","SEN","","","","WQ1","","8.1 [6.5-10.0]","8.08259","6.47909","10.04034",""
"wast3","EQ_DHS","PUBLISHED","2014","AFR","SEN","","","","WQ2","","6.5 [5.0-8.4]","6.48312","4.98183","8.39684",""
"wast3","EQ_DHS","PUBLISHED","2014","AFR","SEN","","","","WQ4","","2.7 [1.5-4.8]","2.71783","1.53166","4.77804",""
"wast3","EQ_MICS","PUBLISHED","2005","AFR","SLE","","","","WQ5","","No data","","","","Not available."
"wast3","EQ_DHS","PUBLISHED","2008","AFR","SLE","","","","WQ1","","12.2 [9.1-16.2]","12.19041","9.05068","16.22502",""
"wast3","EQ_DHS","PUBLISHED","2013","AFR","SLE","","","","WQ3","","11.5 [8.6-15.2]","11.45728","8.55742","15.17672",""
"wast3","EQ_DHS","PUBLISHED","2013","AFR","SLE","","","","WQ4","","12.3 [9.3-16.3]","12.34973","9.27872","16.25504",""
"wast3","EQ_DHS","PUBLISHED","2013","AFR","SLE","","","","WQ5","","9.5 [6.4-13.9]","9.52671","6.42763","13.89809",""
"wast3","EQ_RHS","PUBLISHED","2002","AMR","SLV","","","","WQ1","","2.0 [1.0-4.0]","2.01385","0.99645","4.02778",""
"wast3","EQ_RHS","PUBLISHED","2002","AMR","SLV","","","","WQ2","","1.8 [0.9-3.7]","1.77856","0.85793","3.65073",""
"wast3","EQ_RHS","PUBLISHED","2002","AMR","SLV","","","","WQ4","","2.3 [0.8-6.1]","2.28445","0.83796","6.07491",""
"wast3","EQ_MICS","PUBLISHED","2006","EMR","SOM","","","","WQ1","","No data","","","","Not available."
"wast3","EQ_MICS","PUBLISHED","2010","EUR","SRB","","","","WQ4","","No data","","","","Not available."
"wast3","EQ_MICS","PUBLISHED","2010","EUR","SRB","","","","WQ5","","No data","","","","Not available."
"wast3","EQ_MICS","PUBLISHED","2014","EUR","SRB","","","","WQ1","","No data","","","","Not available."
"wast3","EQ_DHS","PUBLISHED","2008","AFR","STP","","","","WQ2","","11.1 [7.1-16.9]","11.13952","7.14969","16.94942",""
"wast3","EQ_DHS","PUBLISHED","2008","AFR","STP","","","","WQ4","","11.0 [6.9-17.1]","10.96731","6.86889","17.06308",""
"wast3","EQ_MICS","PUBLISHED","2010","AMR","SUR","","","","WQ1","","No data","","","","Not available."
"wast3","EQ_MICS","PUBLISHED","2010","AMR","SUR","","","","WQ2","","No data","","","","Not available."
"wast3","EQ_MICS","PUBLISHED","2010","AMR","SUR","","","","WQ4","","No data","","","","Not available."
"wast3","EQ_MICS","PUBLISHED","2010","AFR","SWZ","","","","WQ5","","No data","","","","Not available."
"wast3","EQ_MICS","PUBLISHED","2014","AFR","SWZ","","","","WQ1","","No data","","","","Not available."
"wast3","EQ_DHS","PUBLISHED","1996","AFR","TCD","","","","WQ4","","20.6 [17.0-24.8]","20.62021","17.01550","24.76072",""
"wast3","EQ_DHS","PUBLISHED","2014","AFR","TCD","","","","WQ1","","14.1 [11.8-16.8]","14.08786","11.78472","16.75563",""
"wast3","EQ_DHS","PUBLISHED","2014","AFR","TCD","","","","WQ4","","15.5 [12.8-18.7]","15.48887","12.75430","18.68419",""
"wast3","EQ_MICS","PUBLISHED","2010","AFR","TGO","","","","WQ1","","No data","","","","Not available."
"wast3","EQ_MICS","PUBLISHED","2010","AFR","TGO","","","","WQ3","","No data","","","","Not available."
"wast3","EQ_MICS","PUBLISHED","2005","SEAR","THA","","","","WQ4","","No data","","","","Not available."
"wast3","EQ_MICS","PUBLISHED","2005","SEAR","THA","","","","WQ5","","No data","","","","Not available."
"wast3","EQ_DHS","PUBLISHED","2012","EUR","TJK","","","","WQ2","","13.6 [10.7-17.1]","13.56389","10.66937","17.09342",""
"wast3","EQ_DHS","PUBLISHED","2012","EUR","TJK","","","","WQ3","","11.7 [9.1-15.0]","11.73492","9.09352","15.01683",""
"wast3","EQ_DHS","PUBLISHED","2012","EUR","TJK","","","","WQ4","","13.1 [10.2-16.6]","13.08965","10.20109","16.64453",""
"wast3","EQ_DHS","PUBLISHED","2009","SEAR","TLS","","","","WQ1","","20.5 [17.9-23.3]","20.49597","17.91805","23.33932",""
"wast3","EQ_DHS","PUBLISHED","2009","SEAR","TLS","","","","WQ3","","19.3 [16.4-22.5]","19.25280","16.41182","22.45346",""
"wast3","EQ_MICS","PUBLISHED","2011","EMR","TUN","","","","WQ5","","No data","","","","Not available."
"wast3","EQ_DHS","PUBLISHED","2003","EUR","TUR","","","","WQ3","","2.2 [0.9-5.0]","2.15510","0.91372","4.99794",""
"wast3","EQ_DHS","PUBLISHED","2003","EUR","TUR","","","","WQ4","","1.1 [0.5-2.8]","1.14994","0.46997","2.78614",""
"wast3","EQ_DHS","PUBLISHED","2004","AFR","TZA","","","","WQ1","","5.0 [3.7-6.6]","4.95323","3.70667","6.59031",""
"wast3","EQ_DHS","PUBLISHED","2004","AFR","TZA","","","","WQ3","","4.1 [3.0-5.5]","4.05657","2.97320","5.51228",""
"wast3","EQ_DHS","PUBLISHED","2004","AFR","TZA","","","","WQ4","","3.2 [2.1-4.7]","3.16853","2.13984","4.66815",""
"wast3","EQ_DHS","PUBLISHED","1995","AFR","UGA","","","","WQ1","","9.4 [7.0-12.4]","9.35650","6.98868","12.41945",""
"wast3","EQ_DHS","PUBLISHED","2006","AFR","UGA","","","","WQ4","","9.0 [6.1-13.1]","9.01136","6.11440","13.08953",""
"wast3","EQ_DHS","PUBLISHED","2006","AFR","UGA","","","","WQ5","","7.1 [4.4-11.2]","7.11098","4.44119","11.19763",""
"wast3","EQ_MICS","PUBLISHED","2005","EUR","UKR","","","","WQ3","","No data","","","","Not available."
"wast3","EQ_MICS","PUBLISHED","2012","AMR","URY","","","","WQ3","","No data","","","","Not available."
"wast3","EQ_DHS","PUBLISHED","1997","WPR","VNM","","","","WQ1","","No data","","","","Not available."
"wast3","EQ_DHS","PUBLISHED","1997","WPR","VNM","","","","WQ2","","No data","","","","Not available."
"wast3","EQ_MICS","PUBLISHED","2006","WPR","VNM","","","","WQ3","","No data","","","","Not available."
"wast3","EQ_MICS","PUBLISHED","2007","WPR","VUT","","","","WQ3","","No data","","","","Not available."
"wast3","EQ_MICS","PUBLISHED","2007","WPR","VUT","","","","WQ4","","No data","","","","Not available."
"wast3","EQ_DHS","PUBLISHED","1998","AFR","ZAF","","","","WQ1","","No data","","","","Not available."
"wast3","EQ_DHS","PUBLISHED","1998","AFR","ZAF","","","","WQ2","","No data","","","","Not available."
"wast3","EQ_DHS","PUBLISHED","1994","AFR","ZWE","","","","WQ3","","5.7 [3.9-8.4]","5.71348","3.86121","8.37687",""
"wast3","EQ_DHS","PUBLISHED","1994","AFR","ZWE","","","","WQ4","","4.6 [2.3-8.9]","4.56813","2.28548","8.92244",""
"wast3","EQ_DHS","PUBLISHED","1994","AFR","ZWE","","","","WQ5","","5.5 [3.4-9.0]","5.52733","3.35986","8.96335",""
"wast3","EQ_MICS","PUBLISHED","2009","AFR","ZWE","","","","WQ1","","No data","","","","Not available."
"wast3","EQ_MICS","PUBLISHED","2009","AFR","ZWE","","","","WQ2","","No data","","","","Not available."
"wast3","EQ_MICS","PUBLISHED","2009","AFR","ZWE","","","","WQ3","","No data","","","","Not available."
"wast3","EQ_MICS","PUBLISHED","2010","EMR","AFG","","FMLE","","","","No data","","","","Not available."
"wast3","EQ_DHS","PUBLISHED","2015","AFR","AGO","","MLE","","","","7.0 [5.8-8.5]","7.03603","5.83181","8.46654",""
"wast3","EQ_MICS","PUBLISHED","2005","EUR","ALB","","FMLE","","","","No data","","","","Not available."
"wast3","EQ_MICS","PUBLISHED","2005","EUR","ALB","","MLE","","","","No data","","","","Not available."
"wast3","EQ_MICS","PUBLISHED","2011","AMR","ARG","","MLE","","","","No data","","","","Not available."
"wast3","EQ_DHS","PUBLISHED","2005","EUR","ARM","","FMLE","","","","5.6 [3.1-9.9]","5.58826","3.07774","9.93668",""
"wast3","EQ_DHS","PUBLISHED","2005","EUR","ARM","","MLE","","","","4.5 [2.3-8.7]","4.49037","2.25874","8.72994",""
"wast3","EQ_DHS","PUBLISHED","2006","EUR","AZE","","FMLE","","","","8.0 [5.8-11.1]","8.04568","5.79656","11.06499",""
"wast3","EQ_DHS","PUBLISHED","2010","AFR","BDI","","FMLE","","","","7.0 [5.3-9.1]","6.99688","5.32856","9.13712",""
"wast3","EQ_DHS","PUBLISHED","2014","SEAR","BGD","","MLE","","","","17.0 [14.7-19.7]","17.04306","14.67781","19.70145",""
"wast3","EQ_MICS","PUBLISHED","2012","EUR","BLR","","MLE","","","","No data","","","","Not available."
"wast3","EQ_MICS","PUBLISHED","2006","AMR","BLZ","","FMLE","","","","No data","","","","Not available."
"wast3","EQ_DHS","PUBLISHED","2003","AMR","BOL","","MLE","","","","2.7 [2.1-3.4]","2.70542","2.13411","3.42432",""
"wast3","EQ_DHS","PUBLISHED","1996","AMR","BRA","","FMLE","","","","2.8 [1.9-4.0]","2.77975","1.92248","4.00369",""
"wast3","EQ_DHS","PUBLISHED","1996","AMR","BRA","","MLE","","","","3.7 [2.7-5.0]","3.68547","2.72991","4.95844",""
"wast3","EQ_MICS","PUBLISHED","2010","SEAR","BTN","","FMLE","","","","No data","","","","Not available."
"wast3","EQ_MICS","PUBLISHED","2006","AFR","CAF","","MLE","","","","No data","","","","Not available."
"wast3","EQ_DHS","PUBLISHED","1994","AFR","CIV","","FMLE","","","","8.9 [7.4-10.7]","8.92809","7.43477","10.68672",""
"wast3","EQ_MICS","PUBLISHED","2006","AFR","CIV","","FMLE","","","","No data","","","","Not available."
"wast3","EQ_RHS","PUBLISHED","1998","AFR","CPV","","MLE","","","","No data","","","","Not available."
"wast3","EQ_MICS","PUBLISHED","2011","AMR","CRI","","MLE","","","","No data","","","","Not available."
"wast3","EQ_MICS","PUBLISHED","2010","AMR","CUB","","FMLE","","","","No data","","","","Not available."
"wast3","EQ_MICS","PUBLISHED","2010","AMR","CUB","","MLE","","","","No data","","","","Not available."
"wast3","EQ_MICS","PUBLISHED","2006","EMR","DJI","","FMLE","","","","No data","","","","Not available."
"wast3","EQ_DHS","PUBLISHED","1999","AMR","DOM","","MLE","","","","No data","","","","Not available."
"wast3","EQ_DHS","PUBLISHED","2007","AMR","DOM","","FMLE","","","","2.2 [1.4-3.4]","2.17613","1.38464","3.40444",""
"wast3","EQ_DHS","PUBLISHED","2007","AMR","DOM","","MLE","","","","2.4 [1.6-3.5]","2.41944","1.64909","3.53671",""
"wast3","EQ_MICS","PUBLISHED","2014","AMR","DOM","","FMLE","","","","No data","","","","Not available."
"wast3","EQ_RHS","PUBLISHED","1994","AMR","ECU","","MLE","","","","No data","","","","Not available."
"wast3","EQ_RHS","PUBLISHED","2004","AMR","ECU","","FMLE","","","","3.0 [1.4-6.0]","2.96743","1.43527","6.03507",""
"wast3","EQ_DHS","PUBLISHED","2000","EMR","EGY","","FMLE","","","","No data","","","","Not available."
"wast3","EQ_DHS","PUBLISHED","2000","AFR","ETH","","FMLE","","","","13.0 [11.3-14.8]","12.96282","11.29544","14.83516",""
