"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","UNSDGREGION","Display Value","Numeric","Low","High","Comments"
"WHOSIS_000014","PUBLISHED","2015","EMR","IRQ","","15.5","15.50000","","",""
"WHOSIS_000014","PUBLISHED","2015","EUR","HUN","","3.7","3.70000","","",""
"WHOSIS_000014","PUBLISHED","2015","AMR","HTI","","24.9","24.90000","","",""
"WHOSIS_000014","PUBLISHED","2015","AFR","GNB","","36.7","36.70000","","",""
"WHOSIS_000014","PUBLISHED","2015","AFR","GHA","","22.7","22.70000","","",""
"WHOSIS_000014","PUBLISHED","2015","EUR","GEO","","11.2","11.20000","","",""
"WHOSIS_000014","PUBLISHED","2015","EUR","EST","","2.7","2.70000","","",""
"WHOSIS_000014","PUBLISHED","2015","AFR","GNQ","","16.2","16.20000","","",""
"WHOSIS_000014","PUBLISHED","2015","EUR","DNK","","1.7","1.70000","","",""
"WHOSIS_000014","PUBLISHED","2015","SEAR","PRK","","13.5","13.50000","","",""
"WHOSIS_000014","PUBLISHED","2015","AFR","CIV","","26.7","26.70000","","",""
"WHOSIS_000014","PUBLISHED","2015","WPR","COK","","8.7","8.70000","","",""
"WHOSIS_000014","PUBLISHED","2015","AFR","CAF","","34.4","34.40000","","",""
"WHOSIS_000014","PUBLISHED","2015","AFR","CMR","","19.6","19.60000","","",""
"WHOSIS_000014","PUBLISHED","2015","AMR","BRA","","8.6","8.60000","","",""
"WHOSIS_000014","PUBLISHED","2015","EUR","BIH","","5.4","5.40000","","",""
"WHOSIS_000014","PUBLISHED","2015","EUR","BEL","","3.0","3.00000","","",""
"WHOSIS_000014","PUBLISHED","2015","AMR","BRB","","8.5","8.50000","","",""
"WHOSIS_000014","PUBLISHED","2015","EUR","ARM","","13.8","13.80000","","",""
"WHOSIS_000014","PUBLISHED","2015","AMR","ATG","","6.4","6.40000","","",""
"WHOSIS_000014","PUBLISHED","2015","AFR","ZMB","","20.9","20.90000","","",""
"WHOSIS_000014","PUBLISHED","2015","WPR","VNM","","10.1","10.10000","","",""
"WHOSIS_000014","PUBLISHED","2015","WPR","VUT","","13.9","13.90000","","",""
"WHOSIS_000014","PUBLISHED","2015","EUR","GBR","","2.9","2.90000","","",""
"WHOSIS_000014","PUBLISHED","2015","EUR","UKR","","8.8","8.80000","","",""
"WHOSIS_000014","PUBLISHED","2015","WPR","TON","","8.6","8.60000","","",""
"WHOSIS_000014","PUBLISHED","2015","SEAR","TLS","","17.8","17.80000","","",""
"WHOSIS_000014","PUBLISHED","2015","AFR","SWZ","","12.3","12.30000","","",""
"WHOSIS_000014","PUBLISHED","2015","EMR","SDN","","24.4","24.40000","","",""
"WHOSIS_000014","PUBLISHED","2015","EMR","SOM","","35.5","35.50000","","",""
"WHOSIS_000014","PUBLISHED","2015","EUR","SVN","","2.9","2.90000","","",""
"WHOSIS_000014","PUBLISHED","2015","EMR","SAU","","13.9","13.90000","","",""
"WHOSIS_000014","PUBLISHED","2015","EUR","SMR","","2.5","2.50000","","",""
"WHOSIS_000014","PUBLISHED","2015","EUR","ROU","","4.1","4.10000","","",""
"WHOSIS_000014","PUBLISHED","2015","WPR","KOR","","2.1","2.10000","","",""
"WHOSIS_000014","PUBLISHED","2015","AMR","PER","","9.0","9.00000","","",""
"WHOSIS_000014","PUBLISHED","2015","WPR","PNG","","15.9","15.90000","","",""
"WHOSIS_000014","PUBLISHED","2015","AFR","NGA","","42.9","42.90000","","",""
"WHOSIS_000014","PUBLISHED","2015","AMR","NIC","","7.4","7.40000","","",""
"WHOSIS_000014","PUBLISHED","2015","AFR","MOZ","","19.1","19.10000","","",""
"WHOSIS_000014","PUBLISHED","2015","EUR","MNE","","3.9","3.90000","","",""
"WHOSIS_000014","PUBLISHED","2015","AFR","MUS","","9.5","9.50000","","",""
"WHOSIS_000014","PUBLISHED","2015","WPR","MHL","","15.6","15.60000","","",""
"WHOSIS_000014","PUBLISHED","2015","EUR","LUX","","2.8","2.80000","","",""
"WHOSIS_000014","PUBLISHED","2015","EMR","LBY","","8.8","8.80000","","",""
"WHOSIS_000014","PUBLISHED","2015","EMR","KWT","","5.1","5.10000","","",""
"WHOSIS_000014","PUBLISHED","2015","AFR","KEN","","22.5","22.50000","","",""
"WHOSIS_000014","PUBLISHED","2015","EUR","ITA","","3.3","3.30000","","",""
"WHOSIS_000014","PUBLISHED","2015","EUR","IRL","","2.7","2.70000","","",""
"WHOSIS_000014","PUBLISHED","2015","AMR","HND","","12.6","12.60000","","",""
"WHOSIS_000014","PUBLISHED","2015","AMR","GUY","","17.2","17.20000","","",""
"WHOSIS_000014","PUBLISHED","2015","EUR","DEU","","2.4","2.40000","","",""
"WHOSIS_000014","PUBLISHED","2015","AFR","GMB","","23.9","23.90000","","",""
"WHOSIS_000014","PUBLISHED","2015","AFR","ETH","","29.7","29.70000","","",""
"WHOSIS_000014","PUBLISHED","2015","AFR","ERI","","22.5","22.50000","","",""
"WHOSIS_000014","PUBLISHED","2015","EMR","DJI","","34.6","34.60000","","",""
"WHOSIS_000014","PUBLISHED","2015","AFR","COD","","27.3","27.30000","","",""
"WHOSIS_000014","PUBLISHED","2015","AMR","CRI","","6.0","6.00000","","",""
"WHOSIS_000014","PUBLISHED","2015","AFR","COG","","15.1","15.10000","","",""
"WHOSIS_000014","PUBLISHED","2015","AFR","TCD","","39.9","39.90000","","",""
"WHOSIS_000014","PUBLISHED","2015","AMR","CAN","","3.1","3.10000","","",""
"WHOSIS_000014","PUBLISHED","2015","WPR","BRN","","6.5","6.50000","","",""
"WHOSIS_000014","PUBLISHED","2015","AFR","BWA","","15.2","15.20000","","",""
"WHOSIS_000014","PUBLISHED","2015","EUR","BLR","","3.0","3.00000","","",""
"WHOSIS_000014","PUBLISHED","2015","SEAR","BGD","","25.4","25.40000","","",""
"WHOSIS_000014","PUBLISHED","2015","WPR","AUS","","2.7","2.70000","","",""
"WHOSIS_000014","PUBLISHED","2015","AMR","ARG","","4.6","4.60000","","",""
"WHOSIS_000014","PUBLISHED","2015","AFR","AGO","","27.3","27.30000","","",""
