"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","GHECAUSES","Display Value","Numeric","Low","High","Comments"
"GBD_DALYRTAGE","PUBLISHED","2012","SEAR","BGD","GHE001","12,774","12773.95020","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","SEAR","BGD","GHE060","22,507","22507.39063","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","SEAR","BGD","GHE151","3,533","3532.84497","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","EUR","BGR","GHE000","33,608","33608.50000","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","EUR","BGR","GHE001","3,781","3780.81396","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","EUR","BGR","GHE060","26,309","26309.08984","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","EUR","BGR","GHE151","3,519","3518.59692","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","EUR","BGR","GHE000","28,771","28770.61914","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","EUR","BGR","GHE001","2,666","2666.42090","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","EUR","BGR","GHE060","23,273","23272.81055","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","EUR","BGR","GHE151","2,831","2831.39697","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","EMR","BHR","GHE000","29,903","29903.42969","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","EMR","BHR","GHE001","2,884","2884.19604","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","EMR","BHR","GHE060","24,337","24337.33984","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","EMR","BHR","GHE151","2,682","2681.89697","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","EMR","BHR","GHE000","25,533","25532.73047","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","EMR","BHR","GHE001","2,861","2861.04492","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","EMR","BHR","GHE060","20,524","20523.51953","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","EMR","BHR","GHE151","2,148","2148.17212","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","AMR","BHS","GHE000","34,269","34268.66016","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","AMR","BHS","GHE001","11,766","11765.86035","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","AMR","BHS","GHE060","19,522","19521.55078","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","AMR","BHS","GHE151","2,981","2981.25195","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","AMR","BHS","GHE000","30,459","30459.25000","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","AMR","BHS","GHE001","7,820","7820.45313","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","AMR","BHS","GHE060","19,109","19108.86914","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","AMR","BHS","GHE151","3,530","3529.92603","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","EUR","BIH","GHE000","28,285","28284.91992","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","EUR","BIH","GHE001","2,527","2527.29297","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","EUR","BIH","GHE060","22,456","22456.26953","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","EUR","BIH","GHE151","3,301","3301.35693","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","EUR","BIH","GHE000","24,000","23999.94922","","",""
