"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","SEX","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","Display Value","Numeric","Low","High","Comments"
"dptv","EQ_DHS","PUBLISHED","1998","AFR","ZAF","","","URB","","","82.5 [78.6-85.8]","82.49947","78.56948","85.83866",""
"dptv","EQ_DHS","PUBLISHED","1996","AFR","ZMB","","","RUR","","","82.8 [78.9-86.1]","82.83194","78.94771","86.12545",""
"dptv","EQ_DHS","PUBLISHED","2001","AFR","ZMB","","","URB","","","88.5 [82.5-92.7]","88.54956","82.51612","92.68550",""
"dptv","EQ_DHS","PUBLISHED","2007","AFR","ZMB","","","RUR","","","77.4 [73.1-81.2]","77.42544","73.12419","81.21515",""
"dptv","EQ_DHS","PUBLISHED","2010","AFR","ZWE","","","URB","","","75.9 [67.3-82.9]","75.94823","67.29836","82.89178",""
"dptv","EQ_MICS","PUBLISHED","2014","AFR","ZWE","","","RUR","","","85.5 [83.1-87.7]","85.54408","83.10889","87.68022",""
"dptv","EQ_DHS","PUBLISHED","2015","AFR","ZWE","","","URB","","","87.6 [82.8-91.3]","87.64151","82.76032","91.28618",""
"dptv","EQ_DHS","PUBLISHED","2015","EMR","AFG","PRLM","","","","","70.4 [59.6-79.2]","70.35437","59.64999","79.20880",""
"dptv","EQ_DHS","PUBLISHED","2015","AFR","AGO","PRLM","","","","","35.3 [31.5-39.3]","35.29814","31.48678","39.30616",""
"dptv","EQ_MICS","PUBLISHED","2005","EUR","ALB","NHLM","","","","","No data","","","","Not reported - Estimate is based on fewer than 25 cases."
"dptv","EQ_DHS","PUBLISHED","2008","EUR","ALB","SHLM","","","","","96.7 [87.8-99.2]","96.71062","87.84715","99.17070",""
"dptv","EQ_DHS","PUBLISHED","2000","EUR","ARM","PRLM","","","","","No data","","","","Not reported - Estimate is based on fewer than 25 cases."
"dptv","EQ_DHS","PUBLISHED","2010","EUR","ARM","NHLM","","","","","No data","","","","Not reported - Estimate is based on fewer than 25 cases."
"dptv","EQ_DHS","PUBLISHED","2006","EUR","AZE","NHLM","","","","","No data","","","","Not reported - Estimate is based on fewer than 25 cases."
"dptv","EQ_DHS","PUBLISHED","2006","EUR","AZE","SHLM","","","","","71.1 [64.9-76.5]","71.05637","64.93331","76.49725",""
"dptv","EQ_MICS","PUBLISHED","2005","AFR","BDI","SHLM","","","","","64.3 [47.5-78.2]","64.29638","47.49319","78.19147",""
"dptv","EQ_DHS","PUBLISHED","2006","AFR","BEN","NHLM","","","","","62.0 [59.0-64.8]","61.96009","59.02215","64.81297",""
"dptv","EQ_DHS","PUBLISHED","2011","AFR","BEN","SHLM","","","","","89.6 [84.6-93.2]","89.64894","84.55052","93.20016",""
"dptv","EQ_DHS","PUBLISHED","2003","AFR","BFA","PRLM","","","","","60.7 [50.4-70.2]","60.74239","50.40432","70.19958",""
"dptv","EQ_MICS","PUBLISHED","2006","AFR","BFA","PRLM","","","","","86.1 [70.2-94.2]","86.05900","70.21291","94.17470",""
"dptv","EQ_DHS","PUBLISHED","1993","SEAR","BGD","NHLM","","","","","59.0 [53.8-64.0]","58.98848","53.78112","64.00183",""
"dptv","EQ_DHS","PUBLISHED","1993","SEAR","BGD","SHLM","","","","","83.9 [77.3-88.9]","83.93095","77.29954","88.90325",""
"dptv","EQ_DHS","PUBLISHED","1996","SEAR","BGD","SHLM","","","","","86.7 [80.1-91.3]","86.67462","80.13139","91.29703",""
"dptv","EQ_DHS","PUBLISHED","2004","SEAR","BGD","PRLM","","","","","82.8 [78.2-86.6]","82.79889","78.22349","86.57790",""
"dptv","EQ_DHS","PUBLISHED","2007","SEAR","BGD","NHLM","","","","","84.7 [79.2-89.0]","84.72926","79.18320","89.00292",""
"dptv","EQ_DHS","PUBLISHED","2011","SEAR","BGD","NHLM","","","","","85.2 [79.1-89.8]","85.23569","79.07766","89.81470",""
"dptv","EQ_DHS","PUBLISHED","2011","SEAR","BGD","SHLM","","","","","96.9 [94.9-98.2]","96.92934","94.91578","98.16091",""
"dptv","EQ_DHS","PUBLISHED","2014","SEAR","BGD","PRLM","","","","","88.0 [83.1-91.7]","88.04644","83.11006","91.68443",""
"dptv","EQ_MICS","PUBLISHED","2006","EUR","BIH","PRLM","","","","","80.0 [70.5-87.0]","79.99553","70.49519","87.00092",""
"dptv","EQ_MICS","PUBLISHED","2005","EUR","BLR","NHLM","","","","","No data","","","","Not available."
"dptv","EQ_MICS","PUBLISHED","2005","EUR","BLR","SHLM","","","","","No data","","","","Not available."
