"GHO","PUBLISHSTATE","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"M_def_2_prev_youth","PUBLISHED","EUR","TUR","BTSX","10.4","10.40000","","",""
"M_def_2_prev_youth","PUBLISHED","AFR","BWA","FMLE","10.9","10.90000","","",""
"M_def_2_prev_youth","PUBLISHED","AFR","NAM","FMLE","11.3","11.30000","","",""
"M_def_2_prev_youth","PUBLISHED","EUR","ALB","BTSX","11.5","11.50000","","",""
"M_def_2_prev_youth","PUBLISHED","EUR","MDA","MLE","12.7","12.70000","","",""
"M_def_2_prev_youth","PUBLISHED","EMR","JOR","MLE","13.3","13.30000","","",""
"M_def_2_prev_youth","PUBLISHED","AMR","TTO","MLE","13.6","13.60000","","",""
"M_def_2_prev_youth","PUBLISHED","AMR","GTM","MLE","13.7","13.70000","","",""
"M_def_2_prev_youth","PUBLISHED","AMR","HTI","FMLE","13.8","13.80000","","",""
"M_def_2_prev_youth","PUBLISHED","AMR","JAM","FMLE","14.3","14.30000","","",""
"M_def_2_prev_youth","PUBLISHED","EUR","UKR","FMLE","14.4","14.40000","","",""
"M_def_2_prev_youth","PUBLISHED","EMR","QAT","MLE","14.9","14.90000","","",""
"M_def_2_prev_youth","PUBLISHED","AFR","MUS","BTSX","16.3","16.30000","","",""
"M_def_2_prev_youth","PUBLISHED","EUR","SWE","FMLE","16.4","16.40000","","",""
"M_def_2_prev_youth","PUBLISHED","WPR","COK","FMLE","19.4","19.40000","","",""
"M_def_2_prev_youth","PUBLISHED","WPR","NRU","MLE","19.5","19.50000","","",""
"M_def_2_prev_youth","PUBLISHED","WPR","COK","BTSX","19.7","19.70000","","",""
"M_def_2_prev_youth","PUBLISHED","EUR","SVN","FMLE","20.3","20.30000","","",""
"M_def_2_prev_youth","PUBLISHED","EUR","SVK","FMLE","23.0","23.00000","","",""
"M_def_2_prev_youth","PUBLISHED","EUR","SVK","MLE","23.2","23.20000","","",""
"M_def_2_prev_youth","PUBLISHED","EUR","HUN","FMLE","23.5","23.50000","","",""
"M_def_2_prev_youth","PUBLISHED","EUR","HUN","BTSX","23.6","23.60000","","",""
"M_def_2_prev_youth","PUBLISHED","AFR","SYC","MLE","24.1","24.10000","","",""
"M_def_2_prev_youth","PUBLISHED","WPR","WSM","FMLE","25.3","25.30000","","",""
"M_def_2_prev_youth","PUBLISHED","EUR","HRV","MLE","26.7","26.70000","","",""
"M_def_2_prev_youth","PUBLISHED","SEAR","TLS","BTSX","28.9","28.90000","","",""
"M_def_2_prev_youth","PUBLISHED","WPR","PLW","BTSX","32.3","32.30000","","",""
"M_def_2_prev_youth","PUBLISHED","EUR","LVA","FMLE","33.8","33.80000","","",""
"M_def_2_prev_youth","PUBLISHED","WPR","FSM","MLE","37.6","37.60000","","",""
"M_def_2_prev_youth","PUBLISHED","WPR","PNG","BTSX","43.8","43.80000","","",""
"M_def_2_prev_youth","PUBLISHED","AMR","CHL","MLE","Not available","","","","Data not reported / not available"
