"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","BACGROUP","Display Value","Numeric","Low","High","Comments"
"SA_0000001520","PUBLISHED","2016","AFR","SWZ","SA_PROFESS_COMMERCE_DRIVERS","0.04%","","","",""
"SA_0000001520","PUBLISHED","2016","AFR","TZA","SA_GENERAL_POPULATION","0.08%","","","",""
"SA_0000001520","PUBLISHED","2016","AFR","ZWE","SA_YOUNG_NOVICE_DRIVERS","0.08%","","","",""
"SA_0000001520","PUBLISHED","2016","AMR","ATG","SA_PROFESS_COMMERCE_DRIVERS","none","","","",""
"SA_0000001520","PUBLISHED","2016","AMR","BRB","SA_GENERAL_POPULATION","none","","","",""
"SA_0000001520","PUBLISHED","2016","AMR","BOL","SA_YOUNG_NOVICE_DRIVERS","0.05%","","","",""
"SA_0000001520","PUBLISHED","2016","AMR","COL","SA_GENERAL_POPULATION","0.02%","","","",""
"SA_0000001520","PUBLISHED","2016","AMR","CUB","SA_YOUNG_NOVICE_DRIVERS","0.01%","","","",""
"SA_0000001520","PUBLISHED","2016","AMR","GRD","SA_GENERAL_POPULATION","none","","","",""
"SA_0000001520","PUBLISHED","2016","AMR","GTM","SA_YOUNG_NOVICE_DRIVERS","none","","","",""
"SA_0000001520","PUBLISHED","2016","AMR","HTI","SA_PROFESS_COMMERCE_DRIVERS",".","","","",""
"SA_0000001520","PUBLISHED","2016","AMR","MEX","SA_GENERAL_POPULATION","sub-national","","","",""
"SA_0000001520","PUBLISHED","2016","AMR","PRY","SA_PROFESS_COMMERCE_DRIVERS","Zero tolerance","","","",""
"SA_0000001520","PUBLISHED","2016","AMR","LCA","SA_GENERAL_POPULATION","0.08%","","","",""
"SA_0000001520","PUBLISHED","2016","AMR","SUR","SA_YOUNG_NOVICE_DRIVERS","0.05%","","","",""
"SA_0000001520","PUBLISHED","2016","AMR","VEN","SA_GENERAL_POPULATION","0.08%","","","",""
