"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","Display Value","Numeric","Low","High","Comments"
"cci2030","EQ_DHS","PUBLISHED","1994","AMR","BOL","","","WQ3","","37.8","37.79428","","",""
"cci2030","EQ_DHS","PUBLISHED","2013","EMR","YEM","","","","YEMDHS201306","38.0","37.98877","","",""
"cci2030","EQ_DHS","PUBLISHED","2008","AFR","MDG","","","","MDGDHS200816","38.0","37.99107","","",""
"cci2030","EQ_DHS","PUBLISHED","2013","EMR","YEM","","","","YEMDHS201308","38.0","38.04901","","",""
"cci2030","EQ_DHS","PUBLISHED","2013","AFR","COD","","","WQ1","","38.1","38.05498","","",""
"cci2030","EQ_DHS","PUBLISHED","2001","AFR","BEN","","","","BENDHS200104","38.2","38.17685","","",""
"cci2030","EQ_DHS","PUBLISHED","1996","AFR","BEN","","RUR","","","38.2","38.19104","","",""
"cci2030","EQ_DHS","PUBLISHED","2001","SEAR","NPL","NHLM","","","","38.3","38.29981","","",""
"cci2030","EQ_MICS","PUBLISHED","2010","EMR","SDN","","","WQ2","","38.3","38.33921","","",""
"cci2030","EQ_DHS","PUBLISHED","1996","AMR","PER","NHLM","","","","38.4","38.37590","","",""
"cci2030","EQ_DHS","PUBLISHED","2005","AMR","HTI","","RUR","","","38.4","38.38993","","",""
"cci2030","EQ_DHS","PUBLISHED","2006","AFR","MLI","","","","MLIDHS200603","38.5","38.51159","","",""
"cci2030","EQ_DHS","PUBLISHED","2011","AFR","COG","","","","COGDHS201106","39.3","39.33538","","",""
"cci2030","EQ_DHS","PUBLISHED","2012","AFR","GIN","","","","GINDHS201201","40.8","40.77430","","",""
"cci2030","EQ_DHS","PUBLISHED","2012","AFR","SEN","","","","SENDHS201210","40.8","40.82492","","",""
"cci2030","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","AFGDHS201511","41.0","40.98599","","",""
"cci2030","EQ_DHS","PUBLISHED","1998","SEAR","IND","","","","INDDHS199819","41.0","41.02629","","",""
"cci2030","EQ_MICS","PUBLISHED","2007","AFR","NGA","","","","NGAMICS200726","41.2","41.15250","","",""
"cci2030","EQ_MICS","PUBLISHED","2010","AFR","TGO","","","","TGOMICS201002","41.2","41.15905","","",""
"cci2030","EQ_DHS","PUBLISHED","1994","AFR","CIV","","","","CIVDHS199405","41.2","41.24006","","",""
"cci2030","EQ_DHS","PUBLISHED","1998","AFR","GHA","","RUR","","","41.3","41.28151","","",""
"cci2030","EQ_DHS","PUBLISHED","2000","AFR","UGA","","","","UGADHS200002","41.4","41.37128","","",""
"cci2030","EQ_DHS","PUBLISHED","2007","AFR","LBR","","","","LBRDHS200705","39.4","39.44229","","",""
"cci2030","EQ_DHS","PUBLISHED","2000","AFR","GAB","","","","GABDHS200005","39.5","39.45131","","",""
"cci2030","EQ_DHS","PUBLISHED","2001","SEAR","NPL","","","","NPLDHS200104","39.6","39.55490","","",""
"cci2030","EQ_MICS","PUBLISHED","2007","AFR","NGA","","","","NGAMICS200711","39.6","39.59261","","",""
"cci2030","EQ_MICS","PUBLISHED","2014","EMR","SDN","","","","SDNMICS201413","39.7","39.67447","","",""
"cci2030","EQ_DHS","PUBLISHED","2006","EUR","AZE","","","","AZEDHS200607","39.7","39.67913","","",""
"cci2030","EQ_MICS","PUBLISHED","2011","AFR","MRT","","","","MRTMICS201101","39.7","39.69215","","",""
"cci2030","EQ_DHS","PUBLISHED","2012","AFR","GIN","","","WQ3","","39.8","39.81726","","",""
"cci2030","EQ_DHS","PUBLISHED","2005","AFR","RWA","","","","RWADHS200509","39.9","39.85046","","",""
"cci2030","EQ_DHS","PUBLISHED","2004","AFR","CMR","","","","CMRDHS200404","39.9","39.88288","","",""
"cci2030","EQ_DHS","PUBLISHED","2006","EMR","PAK","","","WQ2","","39.9","39.90545","","",""
"cci2030","EQ_DHS","PUBLISHED","2011","AFR","MOZ","","","","MOZDHS201104","40.0","40.04797","","",""
"cci2030","EQ_DHS","PUBLISHED","2003","AFR","MDG","","RUR","","","40.1","40.08514","","",""
"cci2030","EQ_MICS","PUBLISHED","2014","EMR","SDN","NHLM","","","","40.2","40.15224","","",""
"cci2030","EQ_DHS","PUBLISHED","1998","AFR","TGO","","","WQ4","","40.2","40.17498","","",""
"cci2030","EQ_DHS","PUBLISHED","2015","AFR","SEN","","","","SENDHS201505","40.3","40.31387","","",""
"cci2030","EQ_DHS","PUBLISHED","2013","AFR","NGA","","","WQ3","","40.4","40.36642","","",""
"cci2030","EQ_DHS","PUBLISHED","2003","AMR","BOL","NHLM","","","","40.5","40.54682","","",""
"cci2030","EQ_DHS","PUBLISHED","2012","AMR","HTI","NHLM","","","","40.6","40.56687","","",""
"cci2030","EQ_DHS","PUBLISHED","2003","AFR","MOZ","","","","MOZDHS200304","40.6","40.64040","","",""
"cci2030","EQ_DHS","PUBLISHED","2005","AMR","HTI","","","","HTIDHS200506","40.7","40.66462","","",""
"cci2030","EQ_DHS","PUBLISHED","2005","WPR","KHM","","","WQ1","","39.1","39.13425","","",""
"cci2030","EQ_DHS","PUBLISHED","2004","AFR","LSO","NHLM","","","","39.3","39.30480","","",""
"cci2030","EQ_DHS","PUBLISHED","1996","SEAR","NPL","PRLM","","","","39.3","39.32568","","",""
"cci2030","EQ_MICS","PUBLISHED","2011","AFR","MRT","","RUR","","","41.4","41.38925","","",""
"cci2030","EQ_DHS","PUBLISHED","2008","AFR","SLE","","RUR","","","43.2","43.23228","","",""
"cci2030","EQ_DHS","PUBLISHED","2001","AFR","BEN","NHLM","","","","43.3","43.27886","","",""
"cci2030","EQ_MICS","PUBLISHED","2011","AFR","NGA","","","","NGAMICS201125","43.3","43.32186","","",""
"cci2030","EQ_DHS","PUBLISHED","2007","AFR","LBR","","","","LBRDHS200703","43.4","43.44600","","",""
"cci2030","EQ_DHS","PUBLISHED","2012","AMR","HTI","","","WQ1","","43.5","43.46973","","",""
"cci2030","EQ_DHS","PUBLISHED","2011","AFR","CIV","","","","CIVDHS201103","43.6","43.59068","","",""
"cci2030","EQ_DHS","PUBLISHED","2012","SEAR","IDN","","","","IDNDHS201233","43.6","43.59379","","",""
"cci2030","EQ_DHS","PUBLISHED","2000","AFR","UGA","","","","UGADHS200003","43.7","43.73485","","",""
"cci2030","EQ_DHS","PUBLISHED","2015","AFR","SEN","","","WQ1","","43.8","43.75046","","",""
"cci2030","EQ_MICS","PUBLISHED","2011","AFR","NGA","","","WQ3","","43.8","43.76078","","",""
"cci2030","EQ_DHS","PUBLISHED","2013","AFR","COD","","","","CODDHS201307","41.4","41.44740","","",""
"cci2030","EQ_DHS","PUBLISHED","2003","WPR","PHL","","","","PHLDHS200317","41.5","41.45617","","",""
"cci2030","EQ_DHS","PUBLISHED","1998","SEAR","IND","NHLM","","","","41.5","41.50763","","",""
"cci2030","EQ_DHS","PUBLISHED","2001","SEAR","NPL","","","","NPLDHS200102","41.5","41.51609","","",""
"cci2030","EQ_DHS","PUBLISHED","1996","AMR","PER","","","","PERDHS199609","41.7","41.69164","","",""
"cci2030","EQ_DHS","PUBLISHED","1998","AFR","CMR","","","WQ3","","41.7","41.69818","","",""
"cci2030","EQ_DHS","PUBLISHED","2005","AMR","HTI","","","","HTIDHS200508","41.8","41.83471","","",""
"cci2030","EQ_DHS","PUBLISHED","2011","AFR","CIV","","","WQ3","","41.9","41.86327","","",""
"cci2030","EQ_DHS","PUBLISHED","2013","AFR","NGA","","","","NGADHS201301","42.0","41.97338","","",""
"cci2030","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","AFGDHS201518","42.0","42.01517","","",""
"cci2030","EQ_DHS","PUBLISHED","1998","AMR","BOL","","","","BOLDHS199804","43.0","42.97691","","",""
"cci2030","EQ_DHS","PUBLISHED","2008","AFR","MDG","","","","MDGDHS200819","43.1","43.08511","","",""
