"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","AGEGROUP","SEX","INADEQUACY","Display Value","Numeric","Low","High","Comments"
"WSH_10_HYG","PUBLISHED","2016","SEAR","PRK","YEARSALL","BTSX","INADEQUATE_HYGIENE","61","61.40635","","",""
"WSH_10_HYG","PUBLISHED","2016","AMR","ARG","YEARSALL","MLE","INADEQUATE_HYGIENE","19","19.07570","","",""
"WSH_10_HYG","PUBLISHED","2016","EUR","BIH","YEARSALL","FMLE","INADEQUATE_HYGIENE","0","0.38380","","",""
"WSH_10_HYG","PUBLISHED","2016","AMR","BRB","YEARSALL","MLE","INADEQUATE_HYGIENE","0","0.12542","","",""
"WSH_10_HYG","PUBLISHED","2016","EUR","ISL","YEARSALL","MLE","INADEQUATE_HYGIENE","0","0.15240","","",""
"WSH_10_HYG","PUBLISHED","2016","EUR","KAZ","YEARSALL","MLE","INADEQUATE_HYGIENE","13","13.37019","","",""
"WSH_10_HYG","PUBLISHED","2016","AFR","MDG","YEARSALL","MLE","INADEQUATE_HYGIENE","720","720.46330","","",""
"WSH_10_HYG","PUBLISHED","2016","SEAR","MMR","YEARSALL","MLE","INADEQUATE_HYGIENE","672","672.45929","","",""
"WSH_10_HYG","PUBLISHED","2016","AMR","VCT","YEARSALL","FMLE","INADEQUATE_HYGIENE","0","0.15831","","",""
"WSH_10_HYG","PUBLISHED","2016","EMR","YEM","YEARSALL","MLE","INADEQUATE_HYGIENE","236","235.99009","","",""
"WSH_10_HYG","PUBLISHED","2016","AFR","AGO","YEARSALL","FMLE","INADEQUATE_HYGIENE","1281","1281.28997","","",""
"WSH_10_HYG","PUBLISHED","2016","EUR","AZE","YEARSALL","MLE","INADEQUATE_HYGIENE","21","20.98267","","",""
"WSH_10_HYG","PUBLISHED","2016","AMR","GTM","YEARSALL","MLE","INADEQUATE_HYGIENE","104","104.45100","","",""
"WSH_10_HYG","PUBLISHED","2016","EUR","IRL","YEARSALL","FMLE","INADEQUATE_HYGIENE","2","2.34939","","",""
"WSH_10_HYG","PUBLISHED","2016","EUR","KGZ","YEARSALL","MLE","INADEQUATE_HYGIENE","8","7.64128","","",""
"WSH_10_HYG","PUBLISHED","2016","WPR","KHM","YEARSALL","FMLE","INADEQUATE_HYGIENE","104","104.38899","","",""
"WSH_10_HYG","PUBLISHED","2016","EUR","SWE","YEARSALL","FMLE","INADEQUATE_HYGIENE","13","13.32053","","",""
"WSH_10_HYG","PUBLISHED","2016","AFR","SYC","YEARSALL","BTSX","INADEQUATE_HYGIENE","0","0.15331","","",""
"WSH_10_HYG","PUBLISHED","2016","WPR","VNM","YEARSALL","FMLE","INADEQUATE_HYGIENE","146","146.10361","","",""
"WSH_10_HYG","PUBLISHED","2016","EMR","YEM","YEARSALL","FMLE","INADEQUATE_HYGIENE","313","313.38476","","",""
"WSH_10_HYG","PUBLISHED","2016","EMR","ARE","YEARSALL","BTSX","INADEQUATE_HYGIENE","3","2.60201","","",""
"WSH_10_HYG","PUBLISHED","2016","AMR","ATG","YEARSALL","BTSX","INADEQUATE_HYGIENE","0","0.11373","","",""
"WSH_10_HYG","PUBLISHED","2016","EMR","EGY","YEARSALL","MLE","INADEQUATE_HYGIENE","231","230.86403","","",""
"WSH_10_HYG","PUBLISHED","2016","EUR","EST","YEARSALL","MLE","INADEQUATE_HYGIENE","0","0.05464","","",""
