"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","ENVCAUSE","Display Value","Numeric","Low","High","Comments"
"TOTENV_2","PUBLISHED","2012","EUR","UKR","ENVCAUSE001","4","4.39246","","",""
"TOTENV_2","PUBLISHED","2012","WPR","VNM","ENVCAUSE001","13","12.82227","","",""
"TOTENV_2","PUBLISHED","2012","AFR","BEN","ENVCAUSE151","42","41.85387","","",""
"TOTENV_2","PUBLISHED","2012","AFR","BFA","ENVCAUSE151","53","52.55010","","",""
"TOTENV_2","PUBLISHED","2012","EUR","CHE","ENVCAUSE151","5","5.38613","","",""
"TOTENV_2","PUBLISHED","2012","EMR","DJI","ENVCAUSE151","45","45.12092","","",""
"TOTENV_2","PUBLISHED","2012","EUR","ESP","ENVCAUSE151","4","4.16164","","",""
"TOTENV_2","PUBLISHED","2012","AMR","GTM","ENVCAUSE151","30","29.56733","","",""
"TOTENV_2","PUBLISHED","2012","EUR","IRL","ENVCAUSE151","7","7.39064","","",""
"TOTENV_2","PUBLISHED","2012","WPR","JPN","ENVCAUSE151","8","7.62669","","",""
"TOTENV_2","PUBLISHED","2012","WPR","MHL","ENVCAUSE151","19","18.86657","","",""
"TOTENV_2","PUBLISHED","2012","EUR","MKD","ENVCAUSE151","7","6.83769","","",""
"TOTENV_2","PUBLISHED","2012","EUR","MLT","ENVCAUSE151","4","4.10142","","",""
"TOTENV_2","PUBLISHED","2012","AFR","MWI","ENVCAUSE151","44","44.21772","","",""
"TOTENV_2","PUBLISHED","2012","SEAR","NPL","ENVCAUSE151","37","36.98424","","",""
"TOTENV_2","PUBLISHED","2012","WPR","PHL","ENVCAUSE151","19","18.99425","","",""
"TOTENV_2","PUBLISHED","2012","EMR","SOM","ENVCAUSE151","57","57.18435","","",""
"TOTENV_2","PUBLISHED","2012","EUR","SVK","ENVCAUSE151","10","9.62472","","",""
"TOTENV_2","PUBLISHED","2012","EUR","SWE","ENVCAUSE151","5","5.33898","","",""
"TOTENV_2","PUBLISHED","2012","AFR","UGA","ENVCAUSE151","71","70.90334","","",""
"TOTENV_2","PUBLISHED","2012","WPR","VNM","ENVCAUSE151","26","26.27927","","",""
"TOTENV_2","PUBLISHED","2012","AFR","BFA","ENVCAUSE060","184","183.78234","","",""
"TOTENV_2","PUBLISHED","2012","AMR","BRB","ENVCAUSE060","46","46.44412","","",""
"TOTENV_2","PUBLISHED","2012","AMR","CHL","ENVCAUSE060","46","45.74701","","",""
"TOTENV_2","PUBLISHED","2012","AMR","COL","ENVCAUSE060","61","61.28768","","",""
"TOTENV_2","PUBLISHED","2012","EUR","FIN","ENVCAUSE060","41","41.28428","","",""
"TOTENV_2","PUBLISHED","2012","WPR","KHM","ENVCAUSE060","106","105.81515","","",""
"TOTENV_2","PUBLISHED","2012","EUR","MKD","ENVCAUSE060","108","108.41423","","",""
"TOTENV_2","PUBLISHED","2012","SEAR","MMR","ENVCAUSE060","191","190.54455","","",""
"TOTENV_2","PUBLISHED","2012","WPR","MYS","ENVCAUSE060","90","89.71638","","",""
